date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,176.15,176.15,162.5,167.7,4819660.642,810028558.31071,856617,,
2024-05-25,167.7,170.55,165.9,168.35,1911443.135,321691312.78369,405433,,
2024-05-26,168.35,168.4,161.0,163.41,3126117.989,512894771.41766,537560,,
2024-05-27,163.42,172.28,163.26,170.15,3260017.055,547344142.9486,591480,,
2024-05-28,170.15,173.24,164.92,168.68,3779251.343,637522900.01295,714064,,
2024-05-29,168.68,173.93,167.0,168.32,2946277.294,500443628.716,607907,,
2024-05-30,168.32,173.0,163.55,166.88,3307767.047,555770168.75021,592495,,
2024-05-31,166.88,170.94,163.67,165.65,2592736.388,432816352.94655,476139,,
2024-06-01,165.65,167.95,165.64,166.14,1070498.928,178824432.11781,214954,,
2024-06-02,166.14,167.1,161.32,163.15,1669577.986,274722936.49486,308808,,
2024-06-03,163.14,167.21,161.79,164.89,2378016.532,392561788.00562,409680,,
2024-06-04,164.9,171.87,164.31,171.78,2124954.015,356126382.83239,384488,,
2024-06-05,171.78,175.6,170.0,173.54,2560223.589,443704811.3612,435543,,
2024-06-06,173.55,174.4,167.51,170.15,2116238.234,363765530.70853,360006,,
2024-06-07,170.15,172.85,152.92,162.5,3538852.091,584574048.04206,665965,,
2024-06-08,162.51,163.78,157.37,157.83,1789882.65,287653524.77527,338015,,
2024-06-09,157.83,163.04,156.52,162.12,1444905.0,231109362.89601,268602,,
2024-06-10,162.12,163.18,157.46,159.05,1760276.954,281863612.18113,349749,,
2024-06-11,159.04,159.75,145.2,149.31,3646582.777,554100633.37648,736163,,
2024-06-12,149.31,161.84,145.44,155.22,3851856.394,598161585.14139,801266,,
2024-06-13,155.21,155.21,146.03,147.29,2573289.111,385605225.31535,552143,,
2024-06-14,147.29,149.0,139.67,143.05,3183461.493,460357684.10748,606662,,
2024-06-15,143.04,145.78,142.92,145.52,1346924.922,194646238.58695,304623,,
2024-06-16,145.52,151.35,143.08,151.3,1405879.427,206570978.08947,299425,,
2024-06-17,151.3,151.79,139.85,143.27,3412959.812,494336447.73763,637261,,
2024-06-18,143.28,143.82,127.95,137.41,6557976.71,888291180.97423,1134962,,
2024-06-19,137.41,141.9,134.47,135.62,3536777.468,488039592.77287,614546,,
2024-06-20,135.62,141.29,131.9,133.55,3507680.508,475840535.65983,659932,,
2024-06-21,133.55,135.38,128.76,134.6,3230074.027,426673566.8023,631539,,
2024-06-22,134.61,136.74,133.0,133.69,1399215.891,188365519.2827,334153,,
2024-06-23,133.7,135.09,128.22,128.69,1492401.231,197001384.22396,361092,,
2024-06-24,128.68,132.66,122.0,132.33,5583497.777,709427098.28488,1013696,,
2024-06-25,132.34,139.9,131.2,136.58,3963661.704,541175887.65102,777729,,
2024-06-26,136.57,140.41,134.85,136.81,2503428.066,343612682.12807,454579,,
2024-06-27,136.81,151.21,135.2,149.71,4450967.436,646251166.23058,762694,,
2024-06-28,149.71,150.84,139.01,140.03,3339031.267,481073901.27222,646751,,
2024-06-29,140.03,143.26,139.67,140.28,1468985.543,208157309.84296,286106,,
2024-06-30,140.28,147.62,137.09,146.61,2086670.189,296853184.38976,461577,,
2024-07-01,146.61,149.36,145.87,146.67,2280252.836,336552447.23335,506412,,
2024-07-02,146.68,155.0,146.14,154.03,2776061.292,417015417.22148,650428,,
2024-07-03,154.03,154.5,139.01,140.84,4189341.933,607418245.77144,942154,,
2024-07-04,140.84,142.75,127.2,127.86,5230812.158,702763141.49909,1340234,,
2024-07-05,127.85,136.58,121.0,134.32,7669471.231,983389317.89722,1888690,,
2024-07-06,134.32,144.35,132.33,143.05,2873919.136,398979042.90841,809402,,
2024-07-07,143.05,143.33,131.23,131.64,2590805.369,357932288.7914,824773,,
2024-07-08,131.64,142.0,127.77,139.81,5708358.008,778233609.89992,1758085,,
2024-07-09,139.81,144.33,136.45,141.42,3363673.606,474835006.13947,933893,,
2024-07-10,141.43,146.2,138.6,141.98,2700825.893,384433518.86052,768227,,
2024-07-11,141.99,146.1,135.64,135.73,3363094.13,472185792.21612,946184,,
2024-07-12,135.73,140.55,133.92,139.46,2929528.431,400570824.13592,829615,,
2024-07-13,139.47,143.6,137.94,141.9,1357177.621,190214241.6967,448463,,
2024-07-14,141.89,148.56,141.87,147.66,2997466.757,435942051.37289,768260,,
2024-07-15,147.66,159.95,147.0,159.38,3428848.522,526088294.36737,1139996,,
2024-07-16,159.37,162.49,152.57,160.62,3988105.454,629159430.00225,1421402,,
2024-07-17,160.62,163.8,154.68,155.5,2840583.09,453684708.7259,971401,,
2024-07-18,155.5,161.6,155.07,159.22,2584704.124,409279722.45088,901379,,
2024-07-19,159.22,172.42,156.07,169.13,4685513.24,774783060.77819,1483093,,
2024-07-20,169.12,175.1,167.27,173.6,2047796.046,350329363.85493,702512,,
2024-07-21,173.6,185.17,170.27,184.49,3684536.411,651749302.14181,1188870,,
2024-07-22,184.49,185.0,176.71,178.9,3345609.525,602525041.9877,1095481,,
2024-07-23,178.9,180.54,169.72,173.03,3895827.332,682470078.60841,1371959,,
2024-07-24,173.03,182.5,170.9,178.06,3845177.713,682705655.25175,1269686,,
2024-07-25,178.07,179.59,165.42,171.85,4859387.428,829732654.80752,1699682,,
2024-07-26,171.86,185.01,171.69,183.06,3030603.246,541455609.23512,1012900,,
2024-07-27,183.07,188.33,178.11,183.92,3518852.056,647090166.85253,1221390,,
2024-07-28,183.92,186.77,181.16,184.9,1901473.957,350662180.92843,748871,,
2024-07-29,184.91,193.98,181.57,182.57,4024560.314,759977442.45996,1320755,,
2024-07-30,182.57,184.95,175.39,179.16,3074498.493,555301399.55814,1162904,,
2024-07-31,179.16,185.1,171.61,171.71,3250862.527,582939536.24755,1245080,,
2024-08-01,171.7,172.91,157.91,167.37,5523497.615,917091024.19327,1849971,,
2024-08-02,167.37,169.43,150.0,152.77,5553017.934,880989082.65712,2396392,,
2024-08-03,152.78,154.05,140.0,142.52,5444954.693,803132863.9915,1940755,,
2024-08-04,142.53,146.08,131.22,138.33,7037715.285,979026258.03256,2391187,,
2024-08-05,138.32,139.37,110.0,129.78,24267557.819,3003271600.88404,7092579,,
2024-08-06,129.79,149.59,129.4,144.4,8362643.634,1184669504.90055,3567599,,
2024-08-07,144.4,155.0,142.21,144.77,8372307.587,1249654524.5767,3639741,,
2024-08-08,144.78,163.7,141.4,163.13,7303133.96,1137205545.63164,3235989,,
2024-08-09,163.12,163.54,150.72,156.28,4098735.233,639908115.46544,1938541,,
2024-08-10,156.29,158.75,152.54,154.01,1885839.233,291664636.47097,1077252,,
2024-08-11,154.01,158.0,141.2,141.57,3468314.255,517779240.96725,1395573,,
