date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,1.233,1.292,1.188,1.219,26841749.55,32978777.38783,82715,,
2024-05-25,1.219,1.282,1.205,1.25,16597424.75,20704197.93449,50809,,
2024-05-26,1.251,1.285,1.23,1.257,19083187.9,23933597.03729,61984,,
2024-05-27,1.258,1.334,1.252,1.311,27085665.34,35443769.50406,84077,,
2024-05-28,1.311,1.311,1.219,1.248,26795851.06,33711395.376,90825,,
2024-05-29,1.249,1.27,1.201,1.215,22109712.57,27222122.26276,77183,,
2024-05-30,1.216,1.236,1.172,1.186,20002922.89,24132629.41079,57530,,
2024-05-31,1.187,1.207,1.156,1.176,16516463.98,19557566.42668,45521,,
2024-06-01,1.177,1.183,1.157,1.172,9227756.15,10806327.42367,25620,,
2024-06-02,1.172,1.245,1.171,1.219,23966476.63,29006877.42481,55006,,
2024-06-03,1.219,1.254,1.191,1.2,18413778.75,22577682.659,50109,,
2024-06-04,1.201,1.369,1.191,1.293,57776412.93,75006605.85345,155889,,
2024-06-05,1.295,1.399,1.284,1.332,43218448.3,58347322.97861,127802,,
2024-06-06,1.332,1.336,1.262,1.29,24459426.29,31922303.68506,63011,,
2024-06-07,1.29,1.351,1.057,1.205,51663714.02,63652136.32286,142174,,
2024-06-08,1.206,1.212,1.113,1.13,27012802.2,31252951.95119,64930,,
2024-06-09,1.129,1.191,1.114,1.168,14758063.53,17036356.33977,35949,,
2024-06-10,1.169,1.173,1.107,1.119,18110227.18,20496923.57755,50649,,
2024-06-11,1.118,1.124,1.03,1.035,29173011.55,31290163.19181,91799,,
2024-06-12,1.036,1.108,0.99,1.071,25223960.64,26810405.31846,72117,,
2024-06-13,1.072,1.072,0.976,0.987,19973275.44,20252377.234,59123,,
2024-06-14,0.988,1.01,0.901,0.943,23978379.77,23067284.81701,63160,,
2024-06-15,0.944,0.977,0.923,0.934,12986070.2,12358559.31124,36734,,
2024-06-16,0.934,0.949,0.911,0.935,11258172.82,10508282.5689,28817,,
2024-06-17,0.936,0.943,0.787,0.795,45444695.36,38437268.72217,88331,,
2024-06-18,0.795,0.803,0.664,0.736,51288767.35,37567795.89845,111487,,
2024-06-19,0.736,0.756,0.7,0.732,31923571.3,23290578.405,74529,,
2024-06-20,0.732,0.758,0.695,0.725,28157973.33,20628926.20095,56806,,
2024-06-21,0.724,0.744,0.702,0.719,21597313.62,15663217.56434,51638,,
2024-06-22,0.719,0.737,0.704,0.719,10250022.48,7332755.99334,25317,,
2024-06-23,0.72,0.75,0.686,0.697,12308381.31,8885215.8314,26868,,
2024-06-24,0.697,0.735,0.632,0.73,27470556.62,18876417.36817,67192,,
2024-06-25,0.73,0.762,0.711,0.723,12916480.18,9465799.84383,34889,,
2024-06-26,0.723,0.735,0.68,0.701,12368577.13,8768266.3265,31421,,
2024-06-27,0.702,0.726,0.681,0.71,12325978.96,8708757.27453,29057,,
2024-06-28,0.709,0.731,0.656,0.657,14197139.97,9808363.90122,34396,,
2024-06-29,0.657,0.686,0.647,0.653,9298522.98,6201825.03819,18704,,
2024-06-30,0.652,0.693,0.639,0.689,13680534.21,9058023.27835,31478,,
2024-07-01,0.69,0.704,0.648,0.652,15522449.26,10512139.53364,33612,,
2024-07-02,0.652,0.653,0.61,0.637,21949981.55,13919446.22978,42518,,
2024-07-03,0.637,0.651,0.606,0.622,29398680.98,18542477.89134,60607,,
2024-07-04,0.622,0.624,0.526,0.533,38065885.78,22154372.49689,70608,,
2024-07-05,0.533,0.534,0.45,0.514,80935912.72,39898761.29917,125898,,
2024-07-06,0.513,0.586,0.502,0.573,29005304.66,15690600.28846,47624,,
2024-07-07,0.573,0.573,0.533,0.537,20519664.61,11371674.9898,35719,,
2024-07-08,0.536,0.617,0.514,0.605,46797715.95,27013266.1783,101031,,
2024-07-09,0.604,0.616,0.581,0.602,20873200.19,12385428.49104,52311,,
2024-07-10,0.602,0.61,0.578,0.597,20561705.62,12216058.89032,43943,,
2024-07-11,0.596,0.608,0.558,0.561,18710215.39,11003340.26033,44470,,
2024-07-12,0.561,0.572,0.539,0.556,19316656.75,10712124.32614,43742,,
2024-07-13,0.557,0.577,0.552,0.562,15886211.4,8986832.69948,33424,,
2024-07-14,0.562,0.596,0.549,0.592,17705319.02,10084964.06838,42054,,
2024-07-15,0.592,0.628,0.584,0.616,45661147.85,27605121.74203,86060,,
2024-07-16,0.616,0.633,0.573,0.618,56387929.8,34197688.81692,108137,,
2024-07-17,0.618,0.65,0.587,0.591,48182478.73,29818339.66206,81655,,
2024-07-18,0.59,0.612,0.558,0.574,45654795.26,26966462.32123,71639,,
2024-07-19,0.573,0.594,0.551,0.587,40285666.11,22991663.65167,58087,,
2024-07-20,0.587,0.612,0.575,0.607,27274958.86,16257319.60708,44139,,
2024-07-21,0.607,0.615,0.561,0.614,26244835.6,15608312.96991,49764,,
2024-07-22,0.614,0.624,0.569,0.577,26530411.64,15860241.90945,51389,,
2024-07-23,0.577,0.652,0.571,0.574,82694323.19,50678661.24675,138430,,
2024-07-24,0.574,0.585,0.534,0.537,30206293.42,17073064.71605,48712,,
2024-07-25,0.537,0.539,0.495,0.513,41879922.43,21632093.08739,67327,,
2024-07-26,0.512,0.54,0.507,0.538,18851857.14,9954539.11736,33545,,
2024-07-27,0.538,0.549,0.519,0.537,16042920.47,8598341.77556,33176,,
2024-07-28,0.537,0.539,0.515,0.524,12949996.76,6810699.23972,22418,,
2024-07-29,0.524,0.554,0.511,0.513,24721666.7,13259921.98133,42242,,
2024-07-30,0.513,0.522,0.481,0.49,24086480.98,12087497.16943,41179,,
2024-07-31,0.49,0.5,0.457,0.464,29921852.67,14545072.33193,48616,,
2024-08-01,0.464,0.478,0.424,0.468,37801905.0,17100564.24977,52536,,
2024-08-02,0.467,0.471,0.407,0.41,44846816.42,19415082.85058,56393,,
2024-08-03,0.409,0.429,0.386,0.405,39801971.4,16244315.76041,50727,,
2024-08-04,0.404,0.417,0.371,0.4,40652247.28,16128862.47077,57563,,
2024-08-05,0.4,0.405,0.314,0.35,139740252.77,48841054.45621,215353,,
2024-08-06,0.349,0.391,0.349,0.372,56989786.49,21411132.60192,71684,,
2024-08-07,0.372,0.385,0.34,0.346,44845720.18,16318983.66779,73884,,
2024-08-08,0.346,0.402,0.339,0.396,29977647.41,11260544.88014,63040,,
2024-08-09,0.396,0.399,0.371,0.383,19292823.42,7400284.0084,38419,,
2024-08-10,0.383,0.409,0.377,0.396,21115521.66,8337496.30812,36262,,
2024-08-11,0.396,0.408,0.361,0.362,17293142.94,6688340.09836,33184,,
2024-08-12,0.363,0.414,0.355,0.408,37223419.97,14503686.2553,66678,,
2024-08-13,0.408,0.415,0.383,0.403,19367867.31,7724205.52523,40796,,
2024-08-14,0.403,0.423,0.393,0.402,25850309.83,10473468.55092,46275,,
2024-08-15,0.402,0.405,0.354,0.365,24960601.35,9400763.03164,52972,,
2024-08-16,0.365,0.377,0.346,0.355,24809896.77,8908841.44225,49126,,
2024-08-17,0.354,0.368,0.349,0.363,17821925.77,6354522.98419,26185,,
2024-08-18,0.362,0.37,0.355,0.359,15277376.29,5547146.82617,27100,,
2024-08-19,0.359,0.368,0.342,0.36,22975199.22,8206535.99626,53030,,
2024-08-20,0.36,0.369,0.342,0.352,30821843.2,10985162.50852,53483,,
2024-08-21,0.352,0.375,0.345,0.372,27461213.95,9830318.33106,47641,,
2024-08-22,0.372,0.378,0.361,0.364,21716712.21,8029080.77166,43674,,
2024-08-23,0.364,0.421,0.363,0.413,37658870.2,14804160.43922,85144,,
2024-08-24,0.413,0.43,0.406,0.417,30831674.12,12863606.04161,62165,,
2024-08-25,0.417,0.422,0.395,0.415,21890303.12,8952743.76559,64044,,
2024-08-26,0.414,0.42,0.379,0.383,24292508.01,9606869.38901,69178,,
2024-08-27,0.383,0.399,0.355,0.364,23473804.43,8905777.63654,68320,,
2024-08-28,0.364,0.374,0.344,0.357,28183794.32,10137447.68245,80428,,
2024-08-29,0.357,0.38,0.352,0.359,13572393.49,4996192.19588,43348,,
2024-08-30,0.358,0.368,0.337,0.364,16547737.46,5876696.82579,50961,,
2024-08-31,0.365,0.371,0.352,0.357,9721054.29,3506122.82916,24870,,
2024-09-01,0.356,0.375,0.346,0.357,22862405.6,8209061.73948,63003,,
2024-09-02,0.356,0.382,0.344,0.38,39742319.75,14493927.12714,90766,,
2024-09-03,0.38,0.386,0.361,0.361,18324587.43,6854859.66426,46299,,
2024-09-04,0.361,0.42,0.34,0.402,90774160.13,35266920.32543,158946,,
2024-09-05,0.401,0.413,0.388,0.394,37281830.57,14863800.36523,78018,,
2024-09-06,0.394,0.412,0.378,0.401,89982795.82,35635400.68183,145581,,
2024-09-07,0.402,0.447,0.4,0.428,90819690.87,38992626.9831,147889,,
2024-09-08,0.428,0.444,0.418,0.435,52585926.51,22735255.65144,99083,,
2024-09-09,0.434,0.438,0.408,0.432,54367871.74,23007002.00508,100259,,
2024-09-10,0.433,0.434,0.388,0.4,73451840.77,29619913.95821,84891,,
2024-09-11,0.399,0.4,0.375,0.384,62571784.36,24125698.98603,77027,,
2024-09-12,0.384,0.403,0.384,0.403,35016783.16,13738153.92153,48627,,
2024-09-13,0.403,0.414,0.392,0.409,35274751.37,14212853.50324,49557,,
2024-09-14,0.41,0.412,0.392,0.4,23213470.55,9294812.78913,30530,,
2024-09-15,0.4,0.408,0.382,0.389,26101122.29,10368407.88659,37738,,
2024-09-16,0.389,0.391,0.365,0.37,30962484.99,11724998.31483,42955,,
2024-09-17,0.37,0.386,0.367,0.379,31554612.18,11828093.54236,40622,,
2024-09-18,0.379,0.391,0.364,0.39,42437023.82,16004734.15624,57916,,
2024-09-19,0.39,0.407,0.388,0.392,53104831.69,21219213.05147,62187,,
2024-09-20,0.392,0.413,0.382,0.401,66328593.47,26433969.86971,80160,,
2024-09-21,0.401,0.421,0.393,0.411,41663106.83,16898494.25011,56345,,
2024-09-22,0.412,0.42,0.374,0.389,50062968.57,19825090.24722,73876,,
2024-09-23,0.389,0.416,0.378,0.404,67540025.79,27220674.00248,91295,,
2024-09-24,0.403,0.4193,0.3906,0.4156,68087202.69,27581931.491017,134040,,
2024-09-25,0.4156,0.4574,0.4142,0.437,87109988.48,37666397.870185,166279,,
2024-09-26,0.4371,0.5008,0.4243,0.4738,141529729.48,66933072.879939,252210,,
2024-09-27,0.4738,0.5084,0.4721,0.4858,85977897.8,41803911.615695,150093,,
2024-09-28,0.4859,0.4961,0.4557,0.4635,38125837.26,18067102.186136,72878,,
2024-09-29,0.4635,0.4849,0.4527,0.4744,44894870.83,21068799.34843,93494,,
2024-09-30,0.4747,0.4766,0.4328,0.4391,53748327.07,24499737.175654,98612,,
2024-10-01,0.439,0.4696,0.3796,0.3885,79485113.73,33951280.394016,170011,,
2024-10-02,0.3885,0.4048,0.3606,0.3693,51467398.85,19939767.143987,114846,,
2024-10-03,0.3694,0.3754,0.3475,0.3631,40321052.22,14555515.266491,92421,,
2024-10-04,0.3631,0.3905,0.3604,0.3863,42824503.16,16145803.700255,74050,,
2024-10-05,0.3863,0.3959,0.3758,0.3851,19696038.66,7615037.843698,37748,,
2024-10-06,0.3851,0.4014,0.3815,0.3979,15562853.96,6096710.510684,34450,,
2024-10-07,0.3979,0.4132,0.3911,0.392,32688266.0,13177080.045509,69467,,
2024-10-08,0.3919,0.4,0.3807,0.3912,29843795.62,11643083.374229,58085,,
2024-10-09,0.3913,0.4039,0.3688,0.3751,27278078.88,10553184.321889,51242,,
2024-10-10,0.375,0.39,0.3707,0.3897,28372026.2,10766152.852479,56885,,
2024-10-11,0.3899,0.4107,0.3868,0.406,26035556.06,10357056.217592,40704,,
2024-10-12,0.4063,0.4308,0.4057,0.422,22612104.57,9452416.645922,57042,,
2024-10-13,0.4219,0.4378,0.4074,0.4204,28410259.26,12013096.689234,79131,,
2024-10-14,0.4205,0.4489,0.4144,0.4409,42788206.26,18718180.310387,79426,,
2024-10-15,0.441,0.4447,0.4121,0.4255,62571604.22,26871665.656364,119182,,
2024-10-16,0.4255,0.4327,0.4085,0.4133,31392309.3,13220951.873139,60784,,
2024-10-17,0.4133,0.4205,0.3871,0.3927,28539122.96,11453146.131914,47983,,
2024-10-18,0.3928,0.4094,0.3866,0.4046,32758578.67,12987066.508666,44226,,
2024-10-19,0.4047,0.4149,0.3945,0.4081,19187123.72,7760997.421235,27942,,
2024-10-20,0.4083,0.438,0.3997,0.4338,37512625.92,15866723.020808,58823,,
2024-10-21,0.4339,0.4416,0.4131,0.4158,37460095.85,15983296.792181,60529,,
2024-10-22,0.4157,0.4272,0.4021,0.4227,31051244.68,12891255.240984,55095,,
2024-10-23,0.4227,0.4257,0.3842,0.3997,37532161.0,15149839.069551,65835,,
2024-10-24,0.3998,0.4098,0.3924,0.4014,27211990.18,10931170.622499,45529,,
2024-10-25,0.4014,0.4052,0.3439,0.3599,40638236.54,15452328.669535,71367,,
2024-10-26,0.3597,0.3728,0.3521,0.3703,34762947.22,12609289.866833,46767,,
2024-10-27,0.3702,0.3864,0.3661,0.3786,15896715.97,5963579.4909,26694,,
2024-10-28,0.3787,0.3849,0.3616,0.3767,29409855.1,10960313.993017,47539,,
2024-10-29,0.3768,0.3997,0.3765,0.3942,26740214.23,10407959.461877,46999,,
2024-10-30,0.3942,0.4063,0.3862,0.3923,28846178.17,11391782.078144,48662,,
2024-10-31,0.3924,0.3944,0.3649,0.371,27378549.8,10395003.755979,43905,,
2024-11-01,0.3709,0.3804,0.3595,0.3669,21742152.25,7999427.982909,33622,,
2024-11-02,0.3666,0.3709,0.3537,0.3618,14211122.13,5131913.386149,23468,,
2024-11-03,0.3619,0.3634,0.3302,0.346,35289023.56,12213222.198601,62032,,
2024-11-04,0.3459,0.351,0.3272,0.3344,19203418.97,6561532.771392,31314,,
2024-11-05,0.3343,0.3544,0.3342,0.3472,20420358.85,7063827.368996,28549,,
2024-11-06,0.3472,0.4013,0.3472,0.3969,50623291.94,18993135.286497,75470,,
2024-11-07,0.397,0.4288,0.397,0.4115,54102698.92,22318539.968496,89384,,
2024-11-08,0.4118,0.4187,0.3968,0.4068,34034217.93,13845544.344264,56856,,
2024-11-09,0.4068,0.4591,0.4007,0.4541,52564929.21,22553350.026342,99620,,
2024-11-10,0.4541,0.4886,0.4303,0.4565,79255051.03,36943728.277599,162225,,
2024-11-11,0.4566,0.5492,0.4434,0.549,104712863.7,50989825.585928,217611,,
2024-11-12,0.5489,0.554,0.4781,0.5038,122370394.13,63262681.714916,271290,,
2024-11-13,0.504,0.5105,0.4465,0.4703,93492258.27,44374634.068171,212264,,
2024-11-14,0.4704,0.4975,0.4264,0.4338,69771514.34,32256489.712558,148685,,
2024-11-15,0.4338,0.4537,0.4202,0.447,41755095.03,18281724.587295,78380,,
2024-11-16,0.4469,0.4778,0.4437,0.4699,52057251.78,23990958.512938,105201,,
2024-11-17,0.4701,0.478,0.4417,0.4513,54985483.29,25359950.934476,120170,,
2024-11-18,0.4514,0.515,0.4469,0.5064,127755487.8,61802075.515939,242518,,
2024-11-19,0.5064,0.5105,0.4642,0.479,53955014.4,26076203.777842,120291,,
2024-11-20,0.4789,0.4902,0.4435,0.4492,71636074.57,33760554.261816,143755,,
2024-11-21,0.4493,0.5273,0.4353,0.5045,107185083.49,53210603.028847,211891,,
2024-11-22,0.5048,0.5422,0.49,0.5335,102171521.48,52612270.206217,174621,,
2024-11-23,0.5335,0.5969,0.5276,0.5744,115039294.31,64831990.246063,269022,,
2024-11-24,0.5745,0.6196,0.5555,0.611,124537324.5,73689055.465796,318689,,
2024-11-25,0.6111,0.6423,0.5745,0.5868,111372661.08,67576092.881432,259639,,
2024-11-26,0.5869,0.6065,0.5339,0.5789,107689962.95,61281516.581903,211388,,
2024-11-27,0.5786,0.6479,0.5702,0.6378,74700419.98,45237476.829145,162635,,
2024-11-28,0.6377,0.6511,0.6061,0.6303,57201924.29,35927496.824407,136153,,
2024-11-29,0.6305,0.6329,0.6081,0.6268,46620239.05,28881782.252353,93215,,
2024-11-30,0.6272,0.7184,0.6174,0.7123,79182776.97,53106007.093213,186658,,
2024-12-01,0.7125,0.7341,0.6954,0.7115,67248961.31,47769134.485798,161806,,
2024-12-02,0.7114,0.7272,0.6555,0.7112,83294016.46,57165791.770261,211797,,
2024-12-03,0.7116,0.7486,0.6367,0.7259,94672760.06,66175775.328689,216413,,
2024-12-04,0.726,0.7677,0.7098,0.7217,75984433.77,56217852.007091,208341,,
2024-12-05,0.7216,0.7503,0.6783,0.7147,79726520.16,57341929.345491,278143,,
2024-12-06,0.7146,0.8043,0.708,0.7846,86055390.84,65803248.617397,236529,,
2024-12-07,0.7848,0.7953,0.7649,0.7684,35770298.88,27891663.798803,119396,,
2024-12-08,0.7684,0.781,0.74,0.7762,29646204.49,22574413.453951,106382,,
2024-12-09,0.7759,0.777,0.52,0.6212,101279163.53,67443990.881761,276517,,
2024-12-10,0.6212,0.6425,0.5576,0.6154,92061922.23,55511778.157711,201322,,
2024-12-11,0.6156,0.6623,0.5872,0.6546,49594116.26,31153942.274464,123265,,
2024-12-12,0.6549,0.699,0.6494,0.6611,43381529.37,29409769.678565,139343,,
2024-12-13,0.6612,0.6656,0.632,0.658,37456662.6,24360397.568295,102375,,
2024-12-14,0.6582,0.6677,0.6053,0.6228,25393772.08,16055713.97836,81167,,
2024-12-15,0.6228,0.6511,0.6012,0.6482,24716219.42,15500639.483838,78979,,
2024-12-16,0.6485,0.6718,0.6114,0.6275,40964386.68,26215864.178102,130303,,
2024-12-17,0.6275,0.6291,0.5777,0.5866,37044968.09,22526567.652858,102965,,
2024-12-18,0.5867,0.5882,0.519,0.5254,53003559.75,29445807.12651,141330,,
2024-12-19,0.5254,0.5334,0.462,0.4874,85059550.62,42076449.085731,200108,,
2024-12-20,0.4874,0.5064,0.4258,0.5001,102647997.58,47983261.440647,196183,,
2024-12-21,0.5003,0.5279,0.4649,0.4728,49834009.83,24543465.079487,114709,,
