date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,2.005,2.029,1.886,1.975,11286560.8,22088026.48246,72530,,
2024-05-25,1.975,2.014,1.963,1.994,5877213.8,11659382.5771,56935,,
2024-05-26,1.995,2.037,1.952,1.973,5506280.2,10974731.0594,42968,,
2024-05-27,1.974,2.148,1.968,2.077,7394458.0,15252535.95763,63960,,
2024-05-28,2.077,2.095,1.955,1.983,8999406.0,17989574.1133,66557,,
2024-05-29,1.984,2.013,1.927,1.936,6200006.7,12227636.9776,43339,,
2024-05-30,1.935,2.015,1.876,1.914,8284619.6,16139872.23901,55535,,
2024-05-31,1.914,1.963,1.8,1.831,10339668.9,19363921.41591,78067,,
2024-06-01,1.831,1.851,1.805,1.837,4615936.1,8423371.8721,34954,,
2024-06-02,1.837,1.892,1.81,1.824,4420735.9,8189373.9385,39312,,
2024-06-03,1.823,1.97,1.811,1.891,8091920.4,15425215.1793,69633,,
2024-06-04,1.89,2.162,1.884,2.153,17649256.2,36067852.8989,135831,,
2024-06-05,2.154,2.437,2.12,2.41,26389646.5,60283330.20327,211734,,
2024-06-06,2.41,2.455,2.252,2.303,14755948.8,34752837.68411,140439,,
2024-06-07,2.303,2.509,2.067,2.161,25090889.2,58119529.94329,212824,,
2024-06-08,2.162,2.361,2.141,2.245,13310414.3,30250830.9774,107787,,
2024-06-09,2.246,2.333,2.18,2.268,8736780.2,19702359.8009,80476,,
2024-06-10,2.268,2.311,2.144,2.224,9502628.2,21137748.3632,83081,,
2024-06-11,2.224,2.242,2.051,2.187,13998135.0,29999140.6081,105742,,
2024-06-12,2.185,2.467,2.12,2.385,17025875.0,39815425.6718,152907,,
2024-06-13,2.385,2.403,2.045,2.066,16930259.2,37667986.6232,149400,,
2024-06-14,2.066,2.109,1.87,1.925,16922037.4,33700285.6062,150485,,
2024-06-15,1.925,1.971,1.871,1.945,6609278.2,12652959.6215,57461,,
2024-06-16,1.945,1.979,1.895,1.903,7058668.3,13619940.4628,67454,,
2024-06-17,1.903,1.917,1.682,1.753,12226197.2,21878743.95057,108712,,
2024-06-18,1.753,1.76,1.49,1.612,20074875.3,32353610.79979,144269,,
2024-06-19,1.611,1.733,1.59,1.635,11876776.5,19868683.3615,86807,,
2024-06-20,1.635,1.748,1.619,1.643,8901924.6,14930326.2454,90616,,
2024-06-21,1.644,1.69,1.588,1.605,6741627.2,11027618.6274,65951,,
2024-06-22,1.605,1.671,1.568,1.655,4803915.2,7864616.7418,44945,,
2024-06-23,1.655,1.686,1.586,1.594,3460020.7,5668686.8999,32877,,
2024-06-24,1.592,1.612,1.463,1.591,9331294.9,14415444.25854,77605,,
2024-06-25,1.591,1.799,1.578,1.794,10670237.4,18042658.9877,95214,,
2024-06-26,1.794,1.82,1.674,1.69,8991243.3,15578189.7325,72460,,
2024-06-27,1.691,1.777,1.666,1.708,6868040.5,11853447.1176,59278,,
2024-06-28,1.708,1.76,1.673,1.678,5667185.1,9752224.0413,48273,,
2024-06-29,1.678,1.7,1.626,1.632,2431039.3,4044154.4364,22607,,
2024-06-30,1.633,1.733,1.608,1.722,3193049.3,5301757.3606,34237,,
2024-07-01,1.723,1.777,1.698,1.715,4365331.1,7566107.8205,45009,,
2024-07-02,1.714,1.73,1.657,1.679,3411379.9,5772273.8111,37134,,
2024-07-03,1.678,1.691,1.548,1.566,7422173.6,11879089.0829,69896,,
2024-07-04,1.566,1.579,1.374,1.39,12244740.3,17882857.0672,91554,,
2024-07-05,1.39,1.433,1.245,1.399,20979497.0,28141222.56415,148835,,
2024-07-06,1.399,1.493,1.37,1.481,4428144.2,6323554.8478,41771,,
2024-07-07,1.481,1.481,1.312,1.32,6286545.4,8777892.534,50176,,
2024-07-08,1.32,1.419,1.254,1.352,8367912.5,11248845.2759,77290,,
2024-07-09,1.351,1.403,1.333,1.389,4993736.0,6862634.2396,50979,,
2024-07-10,1.389,1.56,1.364,1.514,13747882.6,20434727.2339,119223,,
2024-07-11,1.514,1.699,1.502,1.613,19887283.6,32169363.0967,178049,,
2024-07-12,1.612,1.723,1.538,1.671,14053294.1,22981074.4893,144890,,
2024-07-13,1.672,1.736,1.631,1.692,5268101.7,8844596.5626,68764,,
2024-07-14,1.692,1.739,1.647,1.73,5253440.3,8848883.098,61888,,
2024-07-15,1.73,1.923,1.717,1.915,13473252.3,25182535.8944,163873,,
2024-07-16,1.915,1.941,1.781,1.908,10607023.8,19744850.568,142891,,
2024-07-17,1.907,2.01,1.86,1.876,8609361.9,16648827.9519,108418,,
2024-07-18,1.877,1.933,1.792,1.843,5387602.1,10063703.6189,76959,,
2024-07-19,1.843,1.962,1.776,1.908,7133966.2,13273895.6997,94238,,
2024-07-20,1.909,1.934,1.88,1.909,3570766.7,6820110.2983,43762,,
2024-07-21,1.91,1.986,1.856,1.953,5506850.5,10563686.303,62836,,
2024-07-22,1.953,1.973,1.834,1.836,4854420.5,9124920.0184,54582,,
2024-07-23,1.836,1.864,1.72,1.752,7809940.0,13969601.5371,79237,,
2024-07-24,1.752,1.829,1.725,1.742,4456994.1,7946341.7455,44591,,
2024-07-25,1.742,1.819,1.657,1.802,7772832.6,13355893.7883,84464,,
2024-07-26,1.803,1.884,1.796,1.856,5205987.7,9623026.5105,57333,,
2024-07-27,1.856,2.05,1.833,1.943,13196429.7,25375041.1422,136991,,
2024-07-28,1.942,1.954,1.862,1.888,3789950.6,7193506.8704,45398,,
2024-07-29,1.888,1.968,1.824,1.836,7602680.8,14434383.593,81959,,
2024-07-30,1.836,1.867,1.763,1.784,5809182.6,10495618.6165,60872,,
2024-07-31,1.785,1.844,1.729,1.729,5129503.2,9176227.3397,48992,,
2024-08-01,1.73,1.749,1.604,1.719,8871006.1,14873426.2561,85664,,
2024-08-02,1.719,1.738,1.536,1.564,9234250.2,14971267.4944,88048,,
2024-08-03,1.564,1.575,1.432,1.494,9282162.2,13992162.2361,71688,,
2024-08-04,1.495,1.509,1.291,1.361,11652893.3,16187311.4806,77663,,
2024-08-05,1.361,1.374,1.056,1.227,44346305.4,52660105.67596,331908,,
2024-08-06,1.227,1.354,1.224,1.319,11706730.9,15332685.2205,100076,,
2024-08-07,1.319,1.427,1.302,1.309,12991476.8,17668175.8695,98219,,
2024-08-08,1.31,1.532,1.286,1.523,9406968.3,13212621.918,75172,,
2024-08-09,1.523,1.575,1.439,1.492,8153334.9,12170404.6478,96537,,
2024-08-10,1.492,1.515,1.467,1.493,2509181.9,3739690.4818,31955,,
2024-08-11,1.494,1.523,1.367,1.377,4701811.4,6783640.4672,45741,,
