date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,1.0762,1.0858,1.0316,1.0676,29968259.4,31714146.84378,103645,,
2024-05-25,1.0676,1.0837,1.051,1.0629,18130530.3,19341307.28328,68341,,
2024-05-26,1.0629,1.0704,1.0221,1.0419,24747249.2,25788750.82105,87895,,
2024-05-27,1.042,1.0829,1.0313,1.0743,26222430.3,27769026.47566,103715,,
2024-05-28,1.0744,1.0759,1.0137,1.0303,31740830.6,32939673.4236,129580,,
2024-05-29,1.0302,1.0475,1.0081,1.0165,26490573.8,27306330.88084,100167,,
2024-05-30,1.0164,1.0354,0.98,1.013,27003673.1,27311797.28525,104281,,
2024-05-31,1.0129,1.034,0.9951,1.0234,19765509.5,20054169.31521,69907,,
2024-06-01,1.0233,1.0365,1.0096,1.024,12928706.5,13237194.37059,47888,,
2024-06-02,1.0239,1.0389,1.007,1.0164,18643898.5,19063486.10377,70581,,
2024-06-03,1.0165,1.0561,1.0134,1.04,25420198.1,26467802.03975,95517,,
2024-06-04,1.0399,1.0559,1.0121,1.054,23556842.0,24337951.78771,90355,,
2024-06-05,1.0539,1.1049,1.0463,1.1041,37117447.2,40116171.13891,147041,,
2024-06-06,1.1041,1.1364,1.0857,1.1132,32681986.7,36368655.94743,136116,,
2024-06-07,1.1132,1.1719,0.983,1.081,71390493.1,78920978.60803,280728,,
2024-06-08,1.0809,1.1711,1.0637,1.1041,66568450.9,74354689.36134,275970,,
2024-06-09,1.104,1.1295,1.0639,1.094,36383658.5,39866610.0022,170035,,
2024-06-10,1.094,1.0964,1.0311,1.0338,35749513.2,37890519.99681,156436,,
2024-06-11,1.0338,1.0439,0.98,0.9921,35039005.0,35486508.93562,164255,,
2024-06-12,0.9922,1.0545,0.96,1.0185,42348013.6,42938160.73531,179214,,
2024-06-13,1.0186,1.0207,0.9583,0.9658,26224475.2,25940115.12863,113716,,
2024-06-14,0.9659,1.0032,0.9021,0.9294,33126737.5,31549715.09807,146511,,
2024-06-15,0.9295,0.9594,0.9261,0.9444,15957712.9,15091891.88715,61721,,
2024-06-16,0.9446,0.97,0.9232,0.9698,13246679.3,12514472.52437,58855,,
2024-06-17,0.9699,0.9852,0.8616,0.8907,35360997.9,32292580.48514,154234,,
2024-06-18,0.8909,0.8943,0.753,0.8001,63848818.4,51273954.81966,264617,,
2024-06-19,0.8001,0.8758,0.7912,0.8654,32788758.2,27528488.92611,139177,,
2024-06-20,0.8655,0.9239,0.8582,0.8942,29446722.3,26309434.81588,149510,,
2024-06-21,0.8944,0.9203,0.8662,0.9201,29794877.7,26684516.7609,152862,,
2024-06-22,0.92,0.9247,0.8875,0.8909,14920583.4,13491768.8237,83092,,
2024-06-23,0.8907,0.9433,0.8775,0.8811,24871068.4,22672693.28064,135737,,
2024-06-24,0.8812,0.8987,0.8075,0.8949,46237797.5,39500693.51077,213129,,
2024-06-25,0.8949,0.907,0.8695,0.8785,23223876.4,20625027.70337,115073,,
2024-06-26,0.8783,0.8905,0.8201,0.8297,20735647.8,17621847.78769,94562,,
2024-06-27,0.8296,0.8714,0.8257,0.8368,16023314.4,13518238.54402,81401,,
2024-06-28,0.8368,0.8448,0.7864,0.7908,19491347.4,15899286.55468,92972,,
2024-06-29,0.7907,0.8059,0.78,0.7825,11303682.5,9006817.105,55664,,
2024-06-30,0.7825,0.825,0.7728,0.8201,14990091.2,11946248.39619,54137,,
2024-07-01,0.82,0.8357,0.8056,0.8092,12705330.0,10428101.43662,57618,,
2024-07-02,0.8092,0.837,0.7997,0.8254,12702147.7,10382959.23884,58737,,
2024-07-03,0.8256,0.83,0.7673,0.776,19755637.7,15753126.1066,88223,,
2024-07-04,0.7761,0.7835,0.6697,0.6736,44684192.6,32259092.00168,176687,,
2024-07-05,0.6735,0.6748,0.5728,0.6439,98167274.0,61079130.69516,364892,,
2024-07-06,0.6439,0.7003,0.6398,0.6938,23188963.4,15513281.20385,91863,,
2024-07-07,0.6938,0.6981,0.6368,0.64,25868404.1,17466200.90906,96759,,
2024-07-08,0.6401,0.697,0.6126,0.6734,42404731.7,28124932.89695,178010,,
2024-07-09,0.6733,0.7559,0.6666,0.7434,35158769.2,24962713.32729,155768,,
2024-07-10,0.7434,0.7677,0.7193,0.7379,36383341.8,26976712.81686,143431,,
2024-07-11,0.738,0.7786,0.7267,0.7558,33474603.6,25335265.8993,163019,,
2024-07-12,0.7559,0.7718,0.7308,0.7483,22967832.9,17198924.65902,115265,,
2024-07-13,0.7484,0.7673,0.7428,0.7579,9163058.1,6908944.0483,49654,,
2024-07-14,0.7579,0.8194,0.7569,0.8073,23343492.4,18630017.95876,110304,,
2024-07-15,0.807,0.8496,0.7931,0.8442,22725535.0,18461638.75196,115087,,
2024-07-16,0.844,0.8836,0.8159,0.8673,32832533.2,27975412.45167,177000,,
2024-07-17,0.8674,0.892,0.8391,0.8401,26136809.1,22656904.04578,134811,,
2024-07-18,0.8402,0.8568,0.7862,0.8109,27442227.9,22693675.97528,119418,,
2024-07-19,0.811,0.8631,0.7965,0.854,27127662.0,22569840.98681,124198,,
2024-07-20,0.854,0.8918,0.8434,0.8503,36547373.6,31600422.43914,128080,,
2024-07-21,0.8505,0.8596,0.8104,0.8591,22050839.5,18571148.35616,95766,,
2024-07-22,0.8593,0.9024,0.8258,0.8314,33518533.2,28891835.00621,136349,,
2024-07-23,0.8314,0.8471,0.8,0.8145,23866701.7,19694197.99039,99463,,
2024-07-24,0.8144,0.8262,0.7646,0.7709,19026972.0,15222569.50904,84971,,
2024-07-25,0.7708,0.7717,0.71,0.7497,31015641.8,22950992.25794,125857,,
2024-07-26,0.7496,0.7934,0.7466,0.7872,15562233.3,12009889.25961,65938,,
2024-07-27,0.7872,0.799,0.7631,0.7844,15518756.2,12161204.89884,63813,,
2024-07-28,0.7844,0.7844,0.7435,0.7498,10504405.1,8034222.6862,42043,,
2024-07-29,0.7498,0.7851,0.7362,0.74,22378568.5,17148175.73913,79184,,
2024-07-30,0.7401,0.7511,0.694,0.7078,16197072.1,11712895.81898,69072,,
2024-07-31,0.7078,0.7264,0.6936,0.7071,20256732.5,14394812.94124,72067,,
2024-08-01,0.7071,0.718,0.6571,0.6961,30174666.1,20901845.37913,109060,,
2024-08-02,0.6959,0.7007,0.6347,0.6381,28628162.9,19049864.96349,88545,,
2024-08-03,0.6381,0.6537,0.5938,0.6104,27580379.5,17227247.13932,84422,,
2024-08-04,0.6105,0.6297,0.563,0.5775,32259200.0,19158770.7647,94215,,
2024-08-05,0.5777,0.5815,0.4625,0.5348,143632639.7,73879258.22197,358834,,
2024-08-06,0.5349,0.6156,0.5342,0.6012,43417143.4,25361000.09786,118183,,
2024-08-07,0.6013,0.6504,0.5905,0.6167,71136394.1,44617700.04515,194323,,
2024-08-08,0.6168,0.8628,0.6,0.8525,106374470.5,76973594.89138,370997,,
2024-08-09,0.8525,0.8799,0.8246,0.8552,86091811.2,72982797.85342,415167,,
2024-08-10,0.8555,0.96,0.8482,0.9196,90203179.2,81567585.96923,406420,,
2024-08-11,0.9195,0.9306,0.8585,0.8737,83318637.8,74749731.67287,336304,,
2024-08-12,0.8735,1.1174,0.8731,1.0143,207599158.1,208378715.81788,794691,,
2024-08-13,1.0143,1.0165,0.9324,0.9552,97919896.3,94735538.40837,386658,,
2024-08-14,0.9552,0.9728,0.886,0.934,95649879.3,88229763.20527,555162,,
2024-08-15,0.934,0.9394,0.8231,0.8452,90003021.0,79124797.61841,564237,,
