date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,0.012491,0.012588,0.012242,0.012516,36031796.0,448991.151944,8372,,
2024-05-25,0.012528,0.012555,0.012382,0.012495,35672611.0,445106.641966,8457,,
2024-05-26,0.012495,0.012586,0.012446,0.01256,45068602.0,564422.125742,9609,,
2024-05-27,0.012566,0.012606,0.012332,0.012433,72145703.0,898454.662316,12653,,
2024-05-28,0.012428,0.012688,0.01215,0.01233,155880676.0,1926500.817537,12639,,
2024-05-29,0.01233,0.012379,0.01225,0.012273,59593986.0,734182.107068,6793,,
2024-05-30,0.012273,0.012356,0.012129,0.012209,42391963.0,517803.452926,6961,,
2024-05-31,0.012201,0.012358,0.012145,0.012235,35193115.0,430812.292065,8441,,
2024-06-01,0.012235,0.012358,0.012151,0.012311,29210525.0,358629.596042,5811,,
2024-06-02,0.012301,0.012409,0.01225,0.012348,36337905.0,447709.688443,6334,,
2024-06-03,0.012348,0.012462,0.01229,0.012371,45648539.0,565027.577608,6062,,
2024-06-04,0.012369,0.01248,0.01229,0.01248,58540781.0,725783.05441,6886,,
2024-06-05,0.01248,0.01267,0.012439,0.01267,56022207.0,702539.330064,9137,,
2024-06-06,0.012665,0.013059,0.012561,0.013015,93307646.0,1199409.884358,9781,,
2024-06-07,0.013015,0.013108,0.01247,0.01247,100858174.0,1293722.159141,10496,,
2024-06-08,0.01247,0.012625,0.01237,0.012385,62862939.0,782653.074242,7803,,
2024-06-09,0.012384,0.012622,0.012341,0.012611,24840944.0,309949.297314,3614,,
2024-06-10,0.01261,0.01295,0.01245,0.01295,95755874.0,1221131.646848,6354,,
2024-06-11,0.012947,0.013098,0.011523,0.012296,145324639.0,1842917.57276,10732,,
2024-06-12,0.012296,0.012739,0.012235,0.012587,68497592.0,854509.864175,6983,,
2024-06-13,0.012593,0.012721,0.01245,0.012543,58691808.0,738257.259923,6139,,
2024-06-14,0.012548,0.012669,0.01235,0.012382,45138825.0,564850.335154,4455,,
2024-06-15,0.012388,0.012505,0.01231,0.012378,24863485.0,308170.680361,3544,,
2024-06-16,0.01237,0.012419,0.012202,0.012367,38402369.0,472541.844078,4198,,
2024-06-17,0.012363,0.012412,0.012029,0.012035,49657124.0,606097.716641,5447,,
2024-06-18,0.012029,0.012067,0.011393,0.011512,94502908.0,1101503.734558,6197,,
2024-06-19,0.011512,0.011686,0.011394,0.011596,41357009.0,479543.204095,4332,,
2024-06-20,0.011597,0.011801,0.011574,0.01163,47670692.0,557968.086243,6297,,
2024-06-21,0.011635,0.011951,0.01161,0.011813,65599840.0,772659.239349,6207,,
2024-06-22,0.011813,0.011932,0.011767,0.011809,24470595.0,289574.308762,3032,,
2024-06-23,0.011806,0.01194,0.011619,0.011675,34270865.0,404677.54174,4678,,
2024-06-24,0.011675,0.011755,0.011479,0.011486,66624186.0,773775.990657,5681,,
2024-06-25,0.011491,0.01156,0.01129,0.0114,92002939.0,1050199.23468,13165,,
2024-06-26,0.0114,0.011542,0.01136,0.011399,40322460.0,461864.879526,5786,,
2024-06-27,0.011399,0.01146,0.0113,0.01138,32818117.0,373588.701967,5549,,
2024-06-28,0.01137,0.01153,0.01131,0.0114,31859749.0,363674.171436,7449,,
2024-06-29,0.01141,0.01156,0.01138,0.01146,24280744.0,278635.355597,7820,,
2024-06-30,0.01145,0.01155,0.0114,0.01151,30588638.0,350890.95885,8440,,
2024-07-01,0.01151,0.0118,0.01143,0.0115,203684661.0,2373252.128275,11886,,
2024-07-02,0.0115,0.01161,0.01138,0.01146,113361229.0,1300427.9193,5057,,
2024-07-03,0.01146,0.01158,0.0113,0.01139,146312173.0,1670443.53329,4171,,
2024-07-04,0.01139,0.01143,0.01085,0.011,184118977.0,2037004.15303,4928,,
2024-07-05,0.011,0.01101,0.01009,0.01063,238531170.0,2478768.886683,9156,,
2024-07-06,0.01063,0.01087,0.01058,0.01086,101136700.0,1082726.60361,3856,,
2024-07-07,0.01086,0.01087,0.01037,0.0104,93812226.0,999665.92123,3538,,
2024-07-08,0.01039,0.01063,0.01024,0.01061,395316850.0,4149679.81649,8559,,
2024-07-09,0.0106,0.01083,0.0106,0.0108,86581220.0,931001.1438,5435,,
2024-07-10,0.01081,0.01086,0.01075,0.0108,64444378.0,696012.44104,6155,,
2024-07-11,0.0108,0.01101,0.01079,0.01089,64203136.0,700727.24859,6281,,
