date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2025-05-06,0.1432,1.0,0.1432,0.2195,165941271.1,41687783.3485,210505,,
2025-05-07,0.2196,0.274,0.1957,0.2245,168445021.2,38087177.21964,263193,,
2025-05-08,0.2245,0.2445,0.2067,0.2264,89918303.2,20210301.55675,191590,,
2025-05-09,0.2264,0.2497,0.2145,0.2444,81294607.6,19168173.76534,226564,,
2025-05-10,0.2446,0.3,0.2342,0.2859,134520115.1,36676055.71693,306420,,
2025-05-11,0.2861,0.3241,0.2621,0.2735,94475336.6,27582034.3097,192329,,
2025-05-12,0.2733,0.2878,0.2314,0.2467,69776447.9,18270339.21264,159095,,
2025-05-13,0.247,0.2734,0.2336,0.2722,60421477.5,15448364.27583,114635,,
2025-05-14,0.2723,0.3233,0.2644,0.3136,128814124.3,38496305.99755,299886,,
2025-05-15,0.3134,0.3307,0.2617,0.3266,144200103.5,42753014.03324,295250,,
2025-05-16,0.3267,0.3589,0.3177,0.339,135183601.5,46230594.71825,356189,,
2025-05-17,0.339,0.3829,0.3233,0.3488,101373756.9,35918484.99629,290483,,
2025-05-18,0.3489,0.385,0.3428,0.3664,78352599.8,28603461.67641,235538,,
2025-05-19,0.3664,0.3664,0.311,0.3343,76781127.4,25443398.33459,215583,,
2025-05-20,0.3342,0.383,0.3317,0.3596,100039146.5,36391965.05399,270545,,
2025-05-21,0.3596,0.3628,0.3362,0.3411,53941612.6,18901731.47864,151502,,
2025-05-22,0.3412,0.4166,0.3385,0.385,87903332.1,33071022.70597,245777,,
2025-05-23,0.3851,0.4098,0.3649,0.3869,74826013.7,28651681.43578,227934,,
2025-05-24,0.3868,0.4324,0.3865,0.4274,71656321.6,29556804.20507,225215,414117528.7850831,114469709.35836399
2025-05-25,0.4274,0.46,0.4167,0.4377,85986005.3,38105851.39773,298620,458758854.826116,98175684.98707253
2025-05-26,0.4377,0.4707,0.4093,0.418,61886099.5,27086244.08903,234892,474433527.64023876,139730353.49728486
2025-05-27,0.4181,0.4475,0.4075,0.4211,50041661.5,21179191.45323,189407,450739232.0510477,92761905.0859913
2025-05-28,0.4212,0.4595,0.4144,0.4172,50740541.4,22065831.29066,197541,454574515.89492494,80525381.1542639
2025-05-29,0.417,0.44,0.3816,0.3863,45690537.6,18695084.64868,177976,448925444.403496,79808146.99595255
2025-05-30,0.3863,0.39,0.3435,0.3547,50449770.6,18269191.19159,165449,415399666.9346774,70375939.596543
2025-05-31,0.3546,0.3587,0.3171,0.3443,54572528.6,18442213.63243,171890,380130374.88698614,72555907.61880662
2025-06-01,0.3444,0.3599,0.3312,0.3566,39325545.4,13570013.59575,128542,367835073.3016594,79503740.83570659
2025-06-02,0.3566,0.4183,0.3413,0.4143,80383717.0,30865212.25434,286874,383091573.98890686,51693550.20036955
2025-06-03,0.4141,0.4599,0.4127,0.4158,61886635.4,26745105.05723,290646,443201286.10531616,118555076.89952877
2025-06-04,0.4159,0.4311,0.4003,0.4085,34586154.4,14338412.57771,131306,449071439.64879966,86086053.49405497
2025-06-05,0.4086,0.419,0.3513,0.354,34586614.5,13387655.32609,152141,439872830.852091,74081788.10628127
2025-06-06,0.354,0.4164,0.3494,0.407,46878216.1,18136410.77458,225443,386291944.1088244,73029599.24986875
2025-06-07,0.4069,0.43,0.3995,0.4202,35999790.5,14918733.51066,137692,435529951.25228137,103220619.09275252
2025-06-08,0.4203,0.4287,0.3976,0.4033,20710078.0,8503735.41109,83303,449662854.2057172,79416127.13163438
2025-06-09,0.4033,0.4456,0.3879,0.4388,35354356.9,14467297.6461,135129,434076554.4159932,49565618.04855768
2025-06-10,0.4389,0.4933,0.4237,0.4877,66894620.8,31148197.30319,294183,472405461.0637255,74714924.56369486
2025-06-11,0.4874,0.5348,0.4762,0.4964,64747407.0,32558633.47549,279987,523452772.58638376,120051313.85982367
2025-06-12,0.4965,0.5312,0.4773,0.4805,60146368.3,30228051.82722,277489,532317930.4582402,115397637.95671985
2025-06-13,0.4806,0.5022,0.4502,0.4941,60300983.2,28854119.63027,292908,521118507.00249606,110975649.64551593
2025-06-14,0.494,0.4957,0.4572,0.4675,31262255.9,14941862.26249,141388,527907110.807442,110302478.39521584
2025-06-15,0.4676,0.5025,0.4559,0.4975,26457324.4,12518835.00736,128293,502522400.26484007,59114316.87518848
2025-06-16,0.4975,0.5545,0.4803,0.5235,59619312.0,31615995.81266,293203,531688247.0559023,54626449.72424759
2025-06-17,0.5234,0.5548,0.4974,0.5088,63087315.3,33224317.97758,316674,562821323.9841388,119584893.84021385
2025-06-18,0.5089,0.5262,0.4864,0.5131,50136469.0,25285185.28032,204120,546499054.3173459,120193166.34514369
2025-06-19,0.5131,0.529,0.4688,0.4788,35588449.7,17729557.71315,126846,549322614.1111459,100057090.66678156
2025-06-20,0.4788,0.5055,0.4472,0.45,40425384.4,19184603.03963,135798,513212518.18475246,71215925.51247106
2025-06-21,0.45,0.4563,0.416,0.4307,30188182.1,13276842.12908,87172,483296559.022914,76644127.40857646
2025-06-22,0.4307,0.457,0.3933,0.4342,55368058.5,23309291.49114,191700,454443989.97737074,52218605.37934338
2025-06-23,0.4342,0.4972,0.4231,0.4901,78082363.0,35520187.79328,294268,466887842.1856186,98895970.6280339
2025-06-24,0.4904,0.57,0.4815,0.5631,63644910.3,33564527.20387,284347,529754221.75005066,138814195.04730707
2025-06-25,0.5631,0.6581,0.5596,0.5777,118393060.4,71769008.71942,636259,605754694.994034,120140594.73131345
2025-06-26,0.5777,0.63,0.5719,0.594,66779815.7,40057338.70546,405101,613354314.491126,240530006.84494767
2025-06-27,0.5941,0.6288,0.5787,0.5843,59663579.5,36027999.58806,352941,636660046.8998121,135220316.35804412
2025-06-28,0.5844,0.6285,0.5558,0.6255,45987081.4,26788100.80702,212320,634167229.3261076,120457460.61260092
2025-06-29,0.6255,0.6468,0.5866,0.603,50841839.6,31060493.14118,239984,669674863.8672663,93456163.21232775
2025-06-30,0.6031,0.604,0.5314,0.5435,51264207.1,29038513.82397,238646,650656572.8670137,103958239.90686427
2025-07-01,0.5435,0.5497,0.4987,0.5039,50730733.3,26614044.47305,220151,580659832.3719409,104756263.62908761
2025-07-02,0.5038,0.5766,0.4921,0.5394,70094487.6,37904196.00563,322926,541088132.6605934,93853405.50916511
