date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2025-01-16,0.6994,0.848,0.6994,0.7818,94337714.0,74880130.19998,270000,,
2025-01-17,0.7818,0.818,0.7629,0.7798,71064750.4,55823227.22717,213153,,
2025-01-18,0.7798,0.7854,0.6567,0.68,89494659.7,62432044.52714,235113,,
2025-01-19,0.6799,0.6865,0.5481,0.5645,176530041.2,107697295.10364,383638,,
2025-01-20,0.5645,0.5941,0.5,0.5176,160717886.0,87157361.30873,322506,,
2025-01-21,0.5177,0.6352,0.5,0.6052,185515856.7,108990832.26406,395979,,
2025-01-22,0.6053,0.6565,0.5905,0.5931,97797468.9,60899819.54148,213213,,
2025-01-23,0.5931,0.6054,0.5635,0.5801,69517344.4,40552061.34648,203567,,
2025-01-24,0.5802,0.5831,0.5237,0.5362,66642488.4,37455366.1833,183344,,
2025-01-25,0.5362,0.548,0.5244,0.5376,37043984.6,19944935.72055,91809,,
2025-01-26,0.5377,0.5553,0.5141,0.5151,35623425.6,19228255.02066,86744,,
2025-01-27,0.5148,0.5214,0.458,0.4949,94314977.8,45551424.2893,170140,,
2025-01-28,0.4949,0.4956,0.4348,0.4401,53790799.5,25191233.82037,110227,,
2025-01-29,0.4402,0.4996,0.4392,0.487,72815629.4,34113980.02278,149087,,
2025-01-30,0.4872,0.5381,0.4853,0.5184,60096918.4,31031414.3383,139891,,
2025-01-31,0.5185,0.604,0.4992,0.5644,112491974.3,62955269.45359,264668,,
2025-02-01,0.5642,0.5706,0.4865,0.4908,55756515.1,29604050.93123,130580,,
2025-02-02,0.4908,0.5157,0.4245,0.4587,115238017.7,54837317.11428,294617,,
2025-02-03,0.4589,0.4809,0.3154,0.4691,213233090.5,88886278.85084,407806,,
2025-02-04,0.469,0.4735,0.4128,0.4363,105081087.1,45740812.49845,266788,,
2025-02-05,0.4364,0.4597,0.4246,0.4394,70444632.3,30950385.93655,185858,,
2025-02-06,0.4393,0.4767,0.4192,0.4248,89254393.5,40091593.84307,264650,,
2025-02-07,0.4248,0.4496,0.3808,0.3954,76693862.9,32472571.72473,209367,,
2025-02-08,0.3954,0.4183,0.374,0.4122,71522605.6,28131318.04225,175004,,
2025-02-09,0.412,0.4182,0.3934,0.41,54958423.2,22444097.29186,144703,,
2025-02-10,0.41,0.447,0.3983,0.4364,69479707.2,29215373.2355,188875,,
2025-02-11,0.4365,0.483,0.4352,0.4535,65435606.7,29971490.69269,173622,,
2025-02-12,0.4535,0.5631,0.4509,0.5569,149410023.5,75665974.92727,416220,,
2025-02-13,0.5569,0.5885,0.4911,0.5337,117957917.5,64898649.6954,348884,,
2025-02-14,0.5337,0.5593,0.5291,0.549,66796677.7,36503604.17145,192768,,
2025-02-15,0.5491,0.5628,0.5087,0.5153,41818752.6,22384288.54152,127275,,
2025-02-16,0.5154,0.539,0.5077,0.5296,42234677.8,22031937.85086,124122,,
2025-02-17,0.5296,0.6252,0.5293,0.6093,126703165.9,73844708.35324,401257,,
2025-02-18,0.6092,0.63,0.566,0.5972,125061459.3,74295513.20482,385057,,
2025-02-19,0.5973,0.738,0.5922,0.7118,195721132.1,134432103.40507,620521,,
2025-02-20,0.7118,0.899,0.6955,0.8665,237827073.6,188864004.02068,870708,,
2025-02-21,0.8665,0.99,0.825,0.8544,344874887.9,308580772.41953,1654336,,
2025-02-22,0.8543,0.9162,0.788,0.8037,177737198.2,150727076.53534,676372,,
2025-02-23,0.8037,0.868,0.7971,0.8503,101323686.7,83730289.89622,406303,,
2025-02-24,0.8503,0.9187,0.788,0.8064,232894961.9,197747550.1656,1052418,,
2025-02-25,0.8066,0.8191,0.6738,0.7635,303136328.5,221535677.44921,1222301,,
2025-02-26,0.7634,0.7686,0.6669,0.7284,191432417.6,137893807.04642,686580,,
2025-02-27,0.7284,0.7496,0.6851,0.6965,123306139.7,88233219.23803,452938,,
2025-02-28,0.6965,0.6984,0.615,0.6732,185300024.8,120912339.83535,601594,,
2025-03-01,0.6732,0.7637,0.6672,0.7244,123849131.2,89757614.32501,442002,,
2025-03-02,0.7245,0.7833,0.7148,0.748,159635558.8,118866944.16094,632391,,
2025-03-03,0.7479,0.7491,0.5876,0.5962,142493472.5,93918483.05906,510411,,
2025-03-04,0.5963,0.599,0.4939,0.5641,251049985.8,135748292.16439,743402,,
2025-03-05,0.564,0.6123,0.5401,0.5919,127960615.2,74319912.63652,343045,,
2025-03-06,0.5919,0.6218,0.53,0.533,115739267.3,66554342.53588,238567,,
2025-03-07,0.533,0.5425,0.4996,0.5079,131921917.9,68805915.06621,293432,,
2025-03-08,0.5078,0.5218,0.4983,0.5084,59536418.6,30452909.9821,118643,,
2025-03-09,0.5084,0.5121,0.4298,0.4376,120491490.1,56006453.12338,249205,,
2025-03-10,0.4377,0.4676,0.4087,0.4266,154237308.0,68319837.35824,297746,,
2025-03-11,0.4267,0.45,0.4036,0.4283,139867913.3,59948584.01843,253516,,
2025-03-12,0.4283,0.4577,0.4113,0.4513,109136642.1,47677428.56638,176958,,
2025-03-13,0.4513,0.5068,0.4466,0.484,164241388.4,78211944.45484,280763,,
2025-03-14,0.484,0.5499,0.4791,0.5275,150184397.5,78137460.98159,276668,,
2025-03-15,0.5274,0.5619,0.5182,0.5501,74874275.3,40230566.78099,141224,,
2025-03-16,0.5501,0.5511,0.4853,0.4959,129111088.4,65633778.3179,202488,,
2025-03-17,0.4959,0.5183,0.4898,0.5006,118972105.2,59945578.33549,210755,,
2025-03-18,0.5006,0.501,0.4689,0.4944,108778453.3,52525620.46997,188024,,
