date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,450.5,468.8,422.0,436.4,39371.5429,17310158.69275,96207,,
2024-05-25,436.3,448.4,421.8,424.5,18765.2305,8155122.05207,48168,,
2024-05-26,424.5,444.2,416.5,435.9,30810.0429,13292620.51273,58374,,
2024-05-27,436.0,450.4,425.2,438.0,32641.5276,14272823.85288,78053,,
2024-05-28,438.0,440.0,412.7,418.8,33485.5254,14222472.49388,75762,,
2024-05-29,418.9,427.4,392.9,395.3,44809.2934,18264089.68854,83138,,
2024-05-30,395.0,413.1,382.9,390.3,39217.2194,15578316.41498,89012,,
2024-05-31,390.4,397.7,378.0,389.1,36410.6785,14163208.6971,84797,,
2024-06-01,389.0,402.9,385.2,386.7,24342.6102,9555102.53959,50237,,
2024-06-02,386.7,405.0,378.6,381.1,42176.6479,16476715.53584,90840,,
2024-06-03,381.0,390.3,373.0,378.7,52734.3837,20088544.80535,100690,,
2024-06-04,378.7,399.8,377.7,397.6,36442.7555,14165279.2118,76362,,
2024-06-05,397.5,424.9,394.4,418.4,50490.299,20700804.17045,91313,,
2024-06-06,418.4,434.5,402.8,423.9,54528.7011,22860091.03572,138815,,
2024-06-07,423.5,435.4,320.0,392.4,122071.6152,48222492.00279,206475,,
2024-06-08,392.3,399.3,358.1,361.6,47833.6891,18087430.3382,110999,,
2024-06-09,361.4,368.2,352.5,362.0,35928.0113,12957889.05907,77279,,
2024-06-10,362.0,367.5,337.0,342.9,61806.2067,21611054.84872,122158,,
2024-06-11,342.9,350.0,313.7,325.5,89875.6527,29596046.04198,161558,,
2024-06-12,325.5,372.2,310.2,354.0,116339.2234,40014643.30485,211730,,
2024-06-13,354.1,355.8,313.7,315.8,68436.5842,22481974.12349,128399,,
2024-06-14,316.0,324.5,290.0,302.5,91117.5688,28155952.87281,161608,,
2024-06-15,302.5,309.5,295.0,302.1,38662.6181,11713438.94294,80393,,
2024-06-16,302.2,317.6,298.6,306.0,38408.3717,11873880.5962,89335,,
2024-06-17,306.0,308.9,281.0,288.5,79117.4225,23354791.79716,168602,,
2024-06-18,288.6,294.8,236.2,293.6,141537.0087,38451554.34494,290689,,
2024-06-19,293.6,319.5,285.7,299.5,88913.5781,26729723.3042,196653,,
2024-06-20,299.4,321.0,295.2,299.1,62661.6006,19226982.98058,156490,,
2024-06-21,299.1,306.0,280.1,286.2,58582.4097,17031882.28513,149045,,
2024-06-22,286.2,288.9,276.6,279.0,20958.5969,5921050.24263,63246,,
2024-06-23,279.2,290.5,269.1,272.6,30980.2323,8693369.02942,82567,,
2024-06-24,272.6,283.1,259.5,276.1,80533.2794,21963556.77165,174663,,
