date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,2.334,2.35,2.242,2.328,2678793.4,6159276.0628,27535,,
2024-05-25,2.325,2.379,2.31,2.369,2035470.7,4774220.8689,20681,,
2024-05-26,2.368,2.386,2.255,2.282,2027036.1,4678308.9418,19619,,
2024-05-27,2.283,2.404,2.242,2.35,2675569.0,6225469.7763,30042,,
2024-05-28,2.35,2.353,2.239,2.272,2912685.9,6648547.4617,32909,,
2024-05-29,2.273,2.348,2.214,2.22,3296351.3,7527012.2403,38211,,
2024-05-30,2.22,2.286,2.179,2.192,2964833.4,6642445.3817,34633,,
2024-05-31,2.191,2.196,2.112,2.132,3213995.1,6908881.4314,37799,,
2024-06-01,2.131,2.145,2.08,2.099,2098540.6,4423864.7577,20924,,
2024-06-02,2.098,2.143,2.063,2.065,2602951.2,5465729.4714,29772,,
2024-06-03,2.064,2.183,2.05,2.12,4119933.5,8787015.7253,44523,,
2024-06-04,2.119,2.157,2.063,2.147,2561943.1,5403447.5017,28160,,
2024-06-05,2.148,2.27,2.148,2.237,4125590.8,9137397.041,40682,,
2024-06-06,2.238,2.32,2.183,2.198,3596273.9,8082862.2768,40066,,
2024-06-07,2.197,2.236,1.85,1.998,7110939.9,14578107.7004,76322,,
2024-06-08,1.997,2.031,1.892,1.92,3330686.7,6494801.7558,38109,,
2024-06-09,1.92,2.002,1.918,1.982,1984067.3,3892852.0784,20979,,
2024-06-10,1.982,1.982,1.897,1.91,2817725.3,5452147.3177,26605,,
2024-06-11,1.909,1.924,1.758,1.799,4668449.0,8573713.6417,43012,,
2024-06-12,1.798,1.982,1.755,1.921,4281613.2,8128487.7777,43889,,
2024-06-13,1.921,1.928,1.746,1.751,3921269.6,7152627.9828,37125,,
2024-06-14,1.751,1.778,1.608,1.66,4600110.3,7775155.6328,50749,,
2024-06-15,1.66,1.735,1.647,1.681,1732319.5,2915452.84,20699,,
2024-06-16,1.682,1.72,1.663,1.689,1945445.7,3295631.7658,23482,,
2024-06-17,1.689,1.699,1.475,1.541,5382463.1,8445280.131,60381,,
2024-06-18,1.541,1.548,1.333,1.414,8449898.2,11811248.3807,73383,,
2024-06-19,1.413,1.507,1.388,1.472,3990935.8,5861025.4152,38230,,
2024-06-20,1.471,1.604,1.463,1.523,5939096.0,9140768.063,45607,,
2024-06-21,1.524,1.551,1.471,1.507,3233062.4,4893649.7168,37070,,
2024-06-22,1.507,1.561,1.477,1.552,1709402.8,2615088.7168,20234,,
2024-06-23,1.551,1.59,1.488,1.501,3090035.1,4771381.9267,29766,,
2024-06-24,1.501,1.545,1.423,1.516,5096632.1,7588456.6556,51238,,
2024-06-25,1.517,1.65,1.509,1.611,3627948.7,5791629.1675,40598,,
2024-06-26,1.61,1.66,1.572,1.586,2557851.6,4122842.6365,26688,,
2024-06-27,1.586,1.647,1.543,1.576,3451964.1,5479920.9335,36771,,
2024-06-28,1.577,1.587,1.506,1.511,2096069.5,3222023.0566,24345,,
2024-06-29,1.511,1.532,1.488,1.494,1010875.0,1524001.1027,12553,,
2024-06-30,1.494,1.58,1.475,1.56,2076913.5,3156793.9179,20366,,
2024-07-01,1.561,1.611,1.552,1.586,2542944.3,4025614.0109,26376,,
2024-07-02,1.584,1.63,1.529,1.562,1995219.5,3155930.0908,22585,,
2024-07-03,1.563,1.574,1.44,1.448,2995358.9,4481963.207,29805,,
2024-07-04,1.449,1.455,1.28,1.295,5201054.5,7078980.1149,49040,,
2024-07-05,1.295,1.297,1.14,1.275,11214099.8,13704535.1022,86612,,
2024-07-06,1.274,1.375,1.257,1.36,2699099.6,3531945.0213,19688,,
2024-07-07,1.36,1.361,1.246,1.255,2251943.1,2950466.2631,21949,,
