date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,9.21,9.35,8.69,8.88,1767827.66,15862890.4896,58453,,
2024-05-25,8.88,9.16,8.84,9.1,1476518.82,13308698.8302,37222,,
2024-05-26,9.1,9.43,9.03,9.32,2360251.94,21745676.5602,62451,,
2024-05-27,9.32,10.25,9.08,10.16,3096749.22,29610121.7048,87102,,
2024-05-28,10.17,11.88,9.6,11.67,12894636.34,139487096.5279,366872,,
2024-05-29,11.66,11.96,10.67,10.76,7491413.07,85061821.7439,270107,,
2024-05-30,10.77,11.6,10.51,10.69,5637351.67,62428904.8373,184532,,
2024-05-31,10.69,11.02,10.36,10.53,3044425.47,32383728.123,106010,,
2024-06-01,10.54,11.49,10.45,11.35,3033992.64,33268184.8258,89334,,
2024-06-02,11.35,11.86,10.96,11.77,3282464.63,37331980.2098,107902,,
2024-06-03,11.78,11.78,10.72,10.76,2918818.79,32472525.6831,91404,,
2024-06-04,10.77,10.96,10.52,10.72,2142049.82,23039761.9046,64287,,
2024-06-05,10.73,11.11,10.31,10.48,4364743.75,46538395.8076,114162,,
2024-06-06,10.48,10.53,10.12,10.43,2234954.64,23206913.1516,60341,,
2024-06-07,10.44,11.03,8.75,9.67,5675573.12,57670071.4436,171173,,
2024-06-08,9.67,9.85,9.0,9.07,2703471.73,25495768.9595,74365,,
2024-06-09,9.07,9.19,8.89,9.06,1676540.78,15207548.8083,39447,,
2024-06-10,9.07,9.35,8.83,8.98,2459376.96,22320200.841,64754,,
2024-06-11,8.98,9.16,8.3,8.42,4448032.7,38801572.3629,117445,,
2024-06-12,8.43,9.06,8.13,8.71,5638350.4,48789644.4101,127463,,
2024-06-13,8.71,8.77,7.79,7.86,3659791.34,29829193.6729,97092,,
2024-06-14,7.87,8.07,7.31,7.64,3349260.16,25884716.425,87832,,
2024-06-15,7.65,7.87,7.6,7.67,1269612.76,9775823.0185,30860,,
2024-06-16,7.67,8.21,7.5,8.21,1677241.69,13196860.9954,46661,,
2024-06-17,8.21,8.34,7.06,7.26,4508802.62,34151039.7496,103125,,
2024-06-18,7.26,7.29,6.0,6.41,7181831.54,46605783.11951,153563,,
2024-06-19,6.41,6.65,6.29,6.53,4167062.76,27158567.4655,83785,,
2024-06-20,6.53,6.81,6.24,6.37,3862780.7,25315433.7652,78942,,
2024-06-21,6.37,6.64,6.25,6.41,3528143.52,22741729.5647,72928,,
2024-06-22,6.42,6.42,6.21,6.33,1311631.96,8269591.7719,30450,,
2024-06-23,6.34,6.55,6.04,6.09,2118899.3,13373522.646,39258,,
2024-06-24,6.09,6.75,5.73,6.72,5627041.58,35193724.70363,109130,,
2024-06-25,6.71,7.1,6.67,6.8,2827100.16,19463379.0261,61341,,
2024-06-26,6.8,6.87,6.31,6.43,2833930.2,18586693.2071,50677,,
2024-06-27,6.43,6.534,6.226,6.313,4878027.85,31005667.41756,164780,,
2024-06-28,6.313,6.498,6.026,6.067,2177282.78,13673754.0163,110505,,
2024-06-29,6.068,6.306,6.005,6.044,1968924.3,12136297.34184,87045,,
2024-06-30,6.044,6.29,5.987,6.201,2226315.32,13678277.96943,105559,,
2024-07-01,6.201,6.33,5.638,5.807,4895059.79,28994201.59475,181420,,
2024-07-02,5.807,5.984,5.731,5.825,2359250.03,13790179.482,85650,,
2024-07-03,5.826,5.951,5.28,5.307,3939143.04,22135948.78628,141505,,
2024-07-04,5.308,5.334,4.73,4.905,5425094.93,27140098.59327,180091,,
2024-07-05,4.905,5.059,4.141,4.818,8874777.95,40935434.98292,312085,,
2024-07-06,4.819,5.632,4.761,5.596,5536578.49,29405288.98718,256131,,
2024-07-07,5.596,5.597,5.059,5.087,3275376.81,17346205.29633,157838,,
2024-07-08,5.088,6.301,4.888,6.057,9138773.67,52998994.43056,449705,,
2024-07-09,6.057,7.365,5.968,7.252,10630352.17,70505316.97212,590797,,
2024-07-10,7.252,7.436,6.57,6.829,6630924.02,46152775.83737,405893,,
2024-07-11,6.831,7.233,6.29,6.44,5627462.57,38249105.29637,365801,,
2024-07-12,6.439,6.727,6.222,6.367,4482385.46,28971036.70809,271576,,
2024-07-13,6.367,6.487,6.027,6.087,3559559.1,22163325.69914,175854,,
2024-07-14,6.087,6.411,6.076,6.324,3603039.49,22474695.52227,152123,,
2024-07-15,6.323,6.984,6.261,6.847,6197244.33,40498809.49074,294107,,
2024-07-16,6.848,6.888,6.3,6.614,4634118.58,30554296.65427,236218,,
2024-07-17,6.615,6.757,6.267,6.281,4896039.17,31984999.08366,276555,,
2024-07-18,6.28,6.517,5.97,6.195,3199765.23,20072786.80583,180733,,
2024-07-19,6.195,6.465,6.038,6.412,2972252.36,18546343.63195,165899,,
2024-07-20,6.413,6.804,6.312,6.534,3500825.88,23074542.35141,159605,,
2024-07-21,6.534,7.407,6.291,7.29,4540107.09,30606627.62313,208495,,
2024-07-22,7.29,7.66,7.073,7.229,8206908.03,60622149.41154,403895,,
2024-07-23,7.228,7.314,6.355,6.407,4720736.76,32189331.42819,267587,,
2024-07-24,6.407,6.503,5.947,5.984,3510679.68,22192651.98104,165221,,
2024-07-25,5.983,5.983,5.409,5.714,5403010.27,30862712.69799,237076,,
2024-07-26,5.715,6.049,5.689,5.992,2912829.47,17094162.19419,124482,,
2024-07-27,5.991,6.1,5.661,5.882,2343158.9,13846298.96335,121860,,
2024-07-28,5.881,5.881,5.564,5.681,1746880.95,9955280.92274,76880,,
2024-07-29,5.682,5.913,5.448,5.569,2828109.4,16094202.54423,133591,,
2024-07-30,5.57,5.745,5.259,5.427,2235987.37,12369433.30576,131697,,
2024-07-31,5.428,5.532,5.245,5.269,2504154.87,13550188.46526,95204,,
2024-08-01,5.269,5.675,5.033,5.585,4613129.08,24718205.58285,187884,,
2024-08-02,5.585,5.639,5.02,5.326,6569206.56,34851942.0233,264170,,
2024-08-03,5.327,5.552,4.899,4.965,5134568.55,26928345.92906,189909,,
2024-08-04,4.966,5.298,4.577,4.72,4679189.91,22996051.01566,181247,,
2024-08-05,4.72,5.301,3.9,4.741,16019247.45,73769858.94424,741130,,
2024-08-06,4.741,5.161,4.709,4.979,5119655.8,25433870.37538,267621,,
2024-08-07,4.979,5.102,4.455,4.525,4248495.88,20406929.65618,195864,,
2024-08-08,4.526,5.7,4.47,5.659,9258638.95,45290857.75076,255872,,
2024-08-09,5.66,5.798,5.418,5.602,8077642.07,45397054.76898,263855,,
2024-08-10,5.602,6.249,5.517,5.876,7420170.14,43005830.19778,251067,,
2024-08-11,5.878,5.878,5.105,5.124,4023070.87,22081207.33088,124995,,
2024-08-12,5.123,6.056,5.07,5.864,6872178.45,38885116.78212,266451,,
2024-08-13,5.865,6.425,5.533,6.196,5378443.15,32348886.17461,248012,,
2024-08-14,6.197,6.232,5.68,5.682,5598649.18,33650038.40988,253195,,
2024-08-15,5.683,5.911,5.311,5.381,6372724.34,35670341.48218,249551,,
2024-08-16,5.381,5.57,4.985,5.152,5042924.29,26261266.75479,182189,,
2024-08-17,5.153,5.2,5.009,5.126,2972727.1,15174832.07755,99470,,
2024-08-18,5.127,5.264,4.987,4.997,2897709.1,14898782.33037,105221,,
2024-08-19,4.998,5.032,4.765,5.015,3667612.84,17959417.09357,114422,,
2024-08-20,5.015,5.202,4.912,4.996,3698855.71,18736785.56018,129729,,
2024-08-21,4.995,5.225,4.89,5.156,3657628.29,18563661.93583,204315,,
2024-08-22,5.155,5.299,5.117,5.275,2802126.01,14591920.97814,153971,,
2024-08-23,5.276,5.947,5.264,5.93,6324302.42,35498512.19418,325700,,
2024-08-24,5.93,6.194,5.852,6.049,3720365.96,22422652.83949,229350,,
2024-08-25,6.049,6.052,5.651,5.696,3872145.9,22384832.72892,211053,,
2024-08-26,5.696,5.789,5.411,5.411,3698811.68,20658287.72765,244046,,
2024-08-27,5.411,5.581,4.902,5.013,5302191.31,27673328.48238,298212,,
2024-08-28,5.012,5.144,4.614,4.774,5541286.22,27102827.1958,335716,,
2024-08-29,4.775,4.96,4.553,4.606,3886394.89,18526463.18408,236150,,
2024-08-30,4.604,4.711,4.224,4.513,5119551.64,22919888.88243,219919,,
2024-08-31,4.513,4.624,4.366,4.487,1780428.91,8042433.04009,59582,,
2024-09-01,4.488,4.521,4.168,4.233,2388439.45,10466417.72436,80363,,
2024-09-02,4.232,4.547,4.203,4.474,2820303.37,12397884.44276,94604,,
2024-09-03,4.475,4.558,4.033,4.052,2656673.74,11387986.69818,86286,,
2024-09-04,4.054,4.375,3.869,4.155,5013711.63,20831643.8147,145252,,
2024-09-05,4.156,4.213,3.985,4.044,3596618.48,14706370.69656,111954,,
2024-09-06,4.044,4.198,3.722,3.909,5182547.97,20665592.97111,214802,,
2024-09-07,3.909,4.031,3.865,3.946,2026258.98,7994693.90192,114428,,
2024-09-08,3.946,4.104,3.904,4.064,2436380.12,9758398.58879,132530,,
2024-09-09,4.065,4.375,4.058,4.26,4762926.81,19925030.25672,212576,,
2024-09-10,4.26,4.288,4.107,4.232,3316545.43,13912881.18471,134011,,
2024-09-11,4.233,4.248,3.883,4.112,4464122.13,18044836.9201,181402,,
2024-09-12,4.113,4.335,4.096,4.241,4457007.61,18888777.0376,186084,,
2024-09-13,4.24,4.593,4.068,4.504,4660348.62,20056776.59414,186341,,
2024-09-14,4.504,4.693,4.315,4.654,6205923.4,27878586.4356,220925,,
2024-09-15,4.654,5.12,4.608,4.8,8786532.06,43049936.18456,368472,,
2024-09-16,4.798,4.811,4.478,4.536,4627627.92,21394620.93589,184422,,
2024-09-17,4.535,5.291,4.522,5.227,8742010.32,44273540.43914,355322,,
2024-09-18,5.227,5.471,4.999,5.404,9607232.88,50450302.49432,332220,,
2024-09-19,5.404,6.498,5.323,5.948,14259878.3,86039536.06988,472331,,
2024-09-20,5.947,6.261,5.758,6.005,8002270.95,47859477.73673,356001,,
