date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-08-08,4.352,6.47,4.352,6.218,7201655.11,44731989.4385,173609,,
2024-08-09,6.217,6.832,6.081,6.619,11228166.27,72823702.05494,283605,,
2024-08-10,6.619,6.846,6.599,6.673,5133409.14,34442815.26565,146259,,
2024-08-11,6.674,6.725,6.154,6.21,4615543.02,29742079.30767,122782,,
2024-08-12,6.21,6.63,6.057,6.27,5856268.56,37180172.62168,138815,,
2024-08-13,6.271,6.531,6.186,6.456,4317982.22,27455887.96871,124270,,
2024-08-14,6.455,7.269,6.392,6.89,10902776.42,75841655.0502,299774,,
2024-08-15,6.889,6.914,6.43,6.597,8328363.14,55264068.26047,213232,,
2024-08-16,6.598,6.886,6.376,6.538,12169320.21,80270089.43531,261363,,
2024-08-17,6.537,6.578,6.382,6.438,3533224.7,22877863.72981,97805,,
2024-08-18,6.439,7.104,6.409,6.887,5796162.58,38995338.86614,141980,,
2024-08-19,6.887,7.068,6.709,6.832,7418290.56,50771784.12108,181935,,
2024-08-20,6.832,6.932,6.592,6.664,5041418.88,34097517.5757,114315,,
2024-08-21,6.665,6.772,6.479,6.496,5312979.12,35308773.85966,204395,,
2024-08-22,6.496,6.6,6.43,6.504,5136602.64,33519669.1469,203440,,
2024-08-23,6.504,6.814,6.493,6.7,6231723.21,41362868.10256,244678,,
2024-08-24,6.701,6.878,5.452,5.927,37829112.43,225039884.35459,868925,,
2024-08-25,5.926,5.994,5.245,5.77,57258693.92,326851461.27852,1769218,,
2024-08-26,5.77,5.83,5.03,5.132,29148897.52,160359404.68771,965639,,
2024-08-27,5.132,5.668,5.131,5.438,25960725.28,140734978.93653,966597,,
2024-08-28,5.438,5.98,5.111,5.521,41230520.5,227793543.29644,1428215,,
2024-08-29,5.521,5.658,5.358,5.454,12212921.38,67596055.77835,549969,,
2024-08-30,5.454,5.514,5.256,5.371,7774914.67,41806000.19718,420269,,
2024-08-31,5.371,5.443,5.275,5.42,5863389.09,31459220.21413,242226,,
