date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2025-01-19,27.25,77.24,27.25,46.5,148508697.117,8849748911.88167,12940382,,
2025-01-20,46.49,63.99,34.5,36.5,126104631.604,6097324026.81726,15125808,,
2025-01-21,36.51,48.33,30.4,43.76,102564331.531,3982573409.96769,10192681,,
2025-01-22,43.76,44.55,36.1,36.86,36515809.959,1486700985.91617,3887302,,
2025-01-23,36.86,39.84,34.0,34.69,42405473.229,1559087347.84969,3437224,,
2025-01-24,34.68,35.46,29.1,30.18,28847940.76,951658773.49055,2334293,,
2025-01-25,30.19,30.6,25.71,28.89,43259068.889,1221093824.87148,2882649,,
2025-01-26,28.89,32.3,27.07,27.38,29203595.477,873107837.35814,2144593,,
2025-01-27,27.39,28.25,24.58,28.0,30180658.994,802999628.38225,2345035,,
2025-01-28,28.01,30.47,26.27,27.34,27125442.9,786839143.2135,2256017,,
2025-01-29,27.35,28.7,26.26,27.25,20179800.755,555431174.72779,1477139,,
2025-01-30,27.25,28.3,25.77,26.06,17939658.96,489516300.65028,1078569,,
2025-01-31,26.06,26.64,23.62,24.14,17859827.809,455957836.3382,1131806,,
2025-02-01,24.14,25.03,18.56,19.7,36778747.525,797985209.32434,1868244,,
2025-02-02,19.71,22.65,19.38,21.01,45832143.992,950911283.00705,2780518,,
2025-02-03,21.01,21.25,16.0,19.66,64045316.754,1180612642.18469,3210549,,
2025-02-04,19.66,19.79,16.29,17.19,31757115.623,557111027.54347,1328955,,
2025-02-05,17.19,20.73,17.19,18.17,28279861.949,531202260.9586,1232658,,
2025-02-06,18.17,19.56,16.82,17.08,21930564.316,400593065.58016,1003180,,
2025-02-07,17.09,18.27,16.15,16.57,17348930.328,302181853.74118,784841,,
2025-02-08,16.57,17.48,16.2,17.25,10723993.869,181615808.95984,454003,,
2025-02-09,17.25,17.95,15.27,15.88,14878542.184,247817628.30495,575474,,
2025-02-10,15.88,16.56,14.27,15.91,18652059.836,292679752.68911,760698,,
2025-02-11,15.91,16.8,15.22,15.35,10961878.336,175261190.56216,563030,,
2025-02-12,15.35,15.58,14.46,15.45,12251961.322,185321774.77353,607676,,
2025-02-13,15.45,17.9,15.3,16.3,33073169.894,551871321.62401,1381597,,
2025-02-14,16.3,24.58,15.83,21.58,68341418.441,1413576047.37541,3114499,,
2025-02-15,21.58,22.42,18.09,18.66,40640656.395,825008460.62462,1894558,,
2025-02-16,18.66,19.61,18.22,18.75,22230823.886,418818461.57078,1173027,,
2025-02-17,18.74,19.35,16.82,17.18,20454866.554,364243496.29188,1006814,,
2025-02-18,17.19,17.43,15.61,16.38,15306154.861,251024497.36658,804418,,
2025-02-19,16.38,17.43,16.06,17.03,11941630.373,201384948.90109,637985,,
