date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,1.1048,1.1333,1.08,1.1132,2019015.0,2237163.2658,37600,,
2024-05-25,1.1131,1.1282,1.106,1.1246,1883057.0,2104589.413,30593,,
2024-05-26,1.1241,1.1274,1.1,1.1,1005655.0,1115826.3989,16938,,
2024-05-27,1.1005,1.141,1.1,1.1227,1625955.0,1820140.5112,25460,,
2024-05-28,1.123,1.1674,1.1006,1.1573,3373622.0,3818865.9437,47240,,
2024-05-29,1.1565,1.2043,1.1314,1.1738,3523621.0,4132458.2059,50037,,
2024-05-30,1.1744,1.2236,1.1666,1.2156,4571952.0,5490960.7051,67673,,
2024-05-31,1.2156,1.253,1.191,1.2065,3154903.0,3861160.2279,40732,,
2024-06-01,1.2074,1.3085,1.195,1.2848,3974607.0,4990472.0153,50752,,
2024-06-02,1.2843,1.2866,1.2154,1.2166,2286854.0,2858046.2168,32906,,
2024-06-03,1.217,1.2717,1.2081,1.2314,1750028.0,2165315.3667,29868,,
2024-06-04,1.2317,1.3936,1.224,1.3482,6487325.0,8571886.9587,99181,,
2024-06-05,1.3476,1.4216,1.3333,1.3627,8940665.0,12347781.2462,132689,,
2024-06-06,1.363,1.3821,1.3089,1.3261,3004284.0,4041671.3178,51491,,
2024-06-07,1.3253,1.3576,1.1196,1.2144,5317811.0,6642971.2081,62942,,
2024-06-08,1.214,1.2295,1.1601,1.1715,1878980.0,2256720.9201,30956,,
2024-06-09,1.1716,1.1911,1.1607,1.1686,1640407.0,1930526.1442,24936,,
2024-06-10,1.1689,1.177,1.1192,1.1306,2077347.0,2371376.5794,33422,,
2024-06-11,1.1306,1.1306,1.09,1.1161,4064803.0,4481056.8318,41993,,
2024-06-12,1.1154,1.1839,1.0935,1.1444,2527028.0,2905185.6794,45655,,
2024-06-13,1.1443,1.1493,1.0901,1.1025,1786722.0,1980853.9851,32662,,
2024-06-14,1.1033,1.1285,1.079,1.1071,2467354.0,2709169.3028,29890,,
2024-06-15,1.1063,1.1236,1.094,1.1116,895377.0,995312.2813,11015,,
2024-06-16,1.1116,1.126,1.1018,1.1157,561005.0,623773.7178,7612,,
2024-06-17,1.1165,1.1254,1.036,1.0646,3254901.0,3507028.8658,38158,,
2024-06-18,1.0644,1.0681,0.9,0.9978,7642709.0,7493396.5147,79685,,
2024-06-19,0.9979,1.036,0.9794,1.0051,2412575.0,2436290.7546,30614,,
2024-06-20,1.0042,1.0655,0.9972,1.0228,1910815.0,1974040.0752,25019,,
2024-06-21,1.0243,1.0452,0.98,1.0156,2102144.0,2130940.5192,22962,,
2024-06-22,1.0161,1.0162,0.9864,0.9907,1137330.0,1134654.7206,18085,,
2024-06-23,0.9911,1.0279,0.9686,0.9722,1143404.0,1142142.2373,15683,,
2024-06-24,0.9729,1.0166,0.9517,1.0148,2397330.0,2346636.4905,31432,,
2024-06-25,1.0146,1.0366,0.9991,1.0125,1539689.0,1569122.3549,18432,,
2024-06-26,1.0123,1.0232,0.99,1.0148,1092435.0,1098263.7261,15282,,
2024-06-27,1.0143,1.0465,0.9985,1.0345,3592481.0,3690606.7559,53581,,
2024-06-28,1.0346,1.0616,1.025,1.043,2492060.0,2598460.0046,26180,,
2024-06-29,1.0411,1.0774,1.0353,1.0397,1790063.0,1891674.9875,17927,,
2024-06-30,1.0401,1.09,1.0334,1.0871,1356532.0,1440237.7497,15607,,
2024-07-01,1.0881,1.096,1.0542,1.059,1021227.0,1099975.9987,12967,,
2024-07-02,1.0588,1.1236,1.0483,1.1004,2881299.0,3130802.6889,39117,,
2024-07-03,1.1002,1.1074,1.0545,1.0717,2688095.0,2897490.8548,30734,,
2024-07-04,1.0719,1.0868,0.9161,0.9314,5702725.0,5570322.835,66063,,
2024-07-05,0.9317,1.0022,0.8281,0.9836,7873236.0,7210868.8553,98070,,
2024-07-06,0.9838,1.0532,0.9593,1.0346,2263400.0,2285493.9063,30918,,
2024-07-07,1.0347,1.0609,0.9679,0.97,2282246.0,2319094.4736,29694,,
2024-07-08,0.97,1.0205,0.92,1.0115,2975542.0,2913706.3681,41940,,
2024-07-09,1.0105,1.0299,0.9932,1.0209,1396208.0,1411631.8397,20397,,
2024-07-10,1.0207,1.0302,0.9954,1.0192,1225974.0,1244660.6335,16548,,
2024-07-11,1.0189,1.05,1.0023,1.0033,1587319.0,1629324.281,18177,,
2024-07-12,1.0034,1.0263,0.9878,1.0259,1478094.0,1485474.3973,16491,,
2024-07-13,1.026,1.0374,0.9941,1.0133,1530547.0,1547770.2052,21744,,
2024-07-14,1.0134,1.0374,1.0001,1.0318,1514965.0,1542681.3943,19698,,
2024-07-15,1.032,1.07,1.0299,1.0688,1796391.0,1893730.0814,23503,,
2024-07-16,1.0698,1.0798,1.0151,1.0761,2129977.0,2240796.0869,28841,,
2024-07-17,1.076,1.1077,1.0561,1.0598,1822979.0,1964463.4031,26075,,
2024-07-18,1.0613,1.0889,1.0085,1.037,1576315.0,1649339.356,24041,,
2024-07-19,1.0374,1.0636,1.009,1.0598,1756313.0,1818722.2635,25338,,
2024-07-20,1.0599,1.084,1.0486,1.075,1336853.0,1432413.066,19102,,
2024-07-21,1.0757,1.0801,1.0134,1.0672,1762537.0,1857929.5724,22942,,
2024-07-22,1.0673,1.0734,1.0207,1.0242,1174065.0,1222224.8277,16585,,
2024-07-23,1.0246,1.0424,0.9811,1.0037,1933744.0,1957029.4108,26470,,
2024-07-24,1.0036,1.0116,0.9729,0.9791,880358.0,877500.3708,11238,,
2024-07-25,0.9793,0.9947,0.9328,0.9906,2224840.0,2153896.8912,24973,,
2024-07-26,0.9906,1.029,0.9901,1.0216,1098932.0,1111058.1564,10357,,
2024-07-27,1.0215,1.0386,1.0045,1.0194,639768.0,654928.6591,7887,,
2024-07-28,1.0192,1.0275,0.9926,1.0027,668891.0,674627.342,6800,,
2024-07-29,1.003,1.0259,0.9888,1.0088,1150026.0,1163032.0018,12289,,
2024-07-30,1.0073,1.0211,0.9697,0.9887,2720458.0,2721797.8514,79744,,
2024-07-31,0.9884,1.0033,0.968,0.9711,1007103.0,992395.6986,12991,,
2024-08-01,0.9705,1.0386,0.949,1.0327,3935678.0,3894656.9617,44879,,
