date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,9.087,10.569,8.938,10.213,6010490.36,58009210.12292,238897,,
2024-05-25,10.214,11.497,10.152,11.329,8019458.82,87093873.87142,327412,,
2024-05-26,11.33,11.8,11.064,11.167,6066941.99,69108085.41277,238051,,
2024-05-27,11.169,11.372,10.902,11.056,3230856.4,35931893.95089,117751,,
2024-05-28,11.057,11.51,10.603,11.107,3725865.1,40717492.74409,156360,,
2024-05-29,11.11,11.34,10.44,10.443,2745127.46,29734760.48423,127046,,
2024-05-30,10.444,11.209,10.361,10.758,1812312.31,19535841.88316,99529,,
2024-05-31,10.76,11.139,9.929,9.957,3148986.72,33282586.01254,145362,,
2024-06-01,9.957,10.072,9.86,9.886,1357483.99,13522690.50585,63266,,
2024-06-02,9.885,9.959,9.36,9.422,1283848.11,12410952.8442,57756,,
2024-06-03,9.419,9.838,9.293,9.493,1711848.9,16493605.11041,66154,,
2024-06-04,9.494,11.968,9.403,11.466,10228765.87,111687277.87489,474877,,
2024-06-05,11.467,11.596,10.876,11.162,4360122.27,48767250.92503,182160,,
2024-06-06,11.167,11.267,10.42,10.619,3107269.54,33480971.6678,124735,,
2024-06-07,10.619,10.75,9.15,9.818,2914002.05,29503449.07761,145880,,
2024-06-08,9.818,10.201,9.786,10.052,1900669.26,18946528.88444,92544,,
2024-06-09,10.05,10.082,9.759,9.823,904172.18,8954261.51912,39859,,
2024-06-10,9.824,10.685,9.609,10.351,3224428.86,32957345.98944,134500,,
2024-06-11,10.349,10.399,8.74,8.978,4952530.73,46387250.26358,176886,,
2024-06-12,8.978,10.341,8.775,10.079,6226703.66,60826980.54327,258869,,
2024-06-13,10.08,10.24,9.638,10.164,2710791.37,26985193.04273,171552,,
2024-06-14,10.162,11.027,10.072,10.431,6327707.97,66913650.2664,267556,,
2024-06-15,10.43,11.874,10.352,11.52,6564282.44,73234849.21867,303672,,
2024-06-16,11.519,12.026,11.258,11.984,2875675.14,33231523.41378,149264,,
2024-06-17,11.981,11.986,10.521,10.61,4786464.14,52882536.45596,217646,,
2024-06-18,10.609,10.644,9.238,9.766,4229131.74,41470182.24779,169084,,
2024-06-19,9.766,10.477,9.625,9.954,4568679.79,46515897.42211,189083,,
2024-06-20,9.953,10.3,9.637,10.029,2175718.7,21775198.87166,150704,,
2024-06-21,10.028,10.322,9.7,9.81,2417601.67,24093242.03532,204383,,
