date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,0.03513,0.03543,0.03406,0.03534,163709063.0,5717830.259223,36975,,
2024-05-25,0.03534,0.03577,0.03512,0.03558,104357439.2,3695589.700342,23026,,
2024-05-26,0.03558,0.03619,0.0349,0.0356,209213478.9,7421612.587663,40036,,
2024-05-27,0.03561,0.03728,0.03507,0.03661,293578688.3,10647587.117386,55397,,
2024-05-28,0.03662,0.03666,0.03516,0.0358,237470996.0,8498623.831331,51700,,
2024-05-29,0.03581,0.03636,0.03508,0.03516,208725060.7,7443210.309029,43374,,
2024-05-30,0.03516,0.03552,0.03404,0.03432,154156559.4,5361388.850135,37024,,
2024-05-31,0.03432,0.03461,0.03336,0.03394,189840740.0,6449880.023794,44972,,
2024-06-01,0.03394,0.03399,0.03354,0.0337,82723149.4,2789270.350036,23753,,
2024-06-02,0.0337,0.03403,0.03316,0.03331,127746821.5,4290696.518069,30018,,
2024-06-03,0.0333,0.03458,0.03311,0.03369,273958682.1,9317345.639249,58427,,
2024-06-04,0.03368,0.03451,0.03324,0.03428,194316546.8,6599502.110262,40913,,
2024-06-05,0.03429,0.03578,0.03425,0.03555,266331444.9,9353272.077835,48865,,
2024-06-06,0.03556,0.03662,0.03501,0.03578,247955644.0,8859838.075676,50477,,
2024-06-07,0.03578,0.03647,0.03006,0.03285,522362889.7,17511328.632711,114267,,
2024-06-08,0.03284,0.03292,0.03113,0.03161,288405727.3,9232375.406815,45118,,
2024-06-09,0.03161,0.03224,0.03115,0.03191,140788494.4,4463427.176234,25069,,
2024-06-10,0.03192,0.03193,0.03073,0.03108,182093408.2,5707507.072134,36589,,
2024-06-11,0.03108,0.03111,0.02899,0.02983,330003290.1,9885980.97816,63449,,
2024-06-12,0.02983,0.0321,0.02911,0.03131,271155479.9,8397225.990329,58419,,
2024-06-13,0.03131,0.03134,0.02938,0.02959,191499559.8,5782724.821807,52482,,
2024-06-14,0.02959,0.02996,0.0278,0.02854,220951952.8,6379523.982613,50413,,
2024-06-15,0.02853,0.02915,0.02819,0.02863,130563957.7,3755484.743757,29279,,
2024-06-16,0.02863,0.02975,0.02825,0.0295,90818588.7,2628628.831851,21667,,
2024-06-17,0.02951,0.02973,0.0266,0.02738,257276969.9,7169162.075242,54897,,
2024-06-18,0.02737,0.02746,0.02381,0.02552,667247272.3,16844408.461216,120256,,
2024-06-19,0.02551,0.0268,0.02522,0.02604,221969330.3,5794663.538811,46504,,
2024-06-20,0.02604,0.02759,0.02589,0.02673,181286297.3,4869577.926362,40365,,
2024-06-21,0.02673,0.0271,0.02603,0.02614,240684508.3,6384695.646743,54732,,
2024-06-22,0.02614,0.02628,0.02567,0.0257,67686499.9,1758238.356937,16551,,
2024-06-23,0.02571,0.02609,0.02488,0.02503,87806791.6,2242164.192442,19897,,
2024-06-24,0.02503,0.02537,0.02381,0.02531,279448085.1,6880271.69688,60435,,
2024-06-25,0.02532,0.02682,0.02526,0.02642,174189036.4,4554004.42173,35115,,
2024-06-26,0.02642,0.02673,0.02574,0.02595,140594222.9,3686373.917954,29988,,
2024-06-27,0.02596,0.02675,0.0256,0.02669,137578069.1,3598110.471218,33124,,
2024-06-28,0.02669,0.0275,0.02578,0.02665,357389211.4,9450449.919067,70655,,
2024-06-29,0.02665,0.02731,0.02591,0.02594,136442903.2,3633339.318211,28320,,
2024-06-30,0.02596,0.02685,0.02558,0.02678,128741858.8,3368658.417224,25980,,
2024-07-01,0.02679,0.0273,0.02613,0.0268,157287228.4,4216498.41857,40003,,
2024-07-02,0.02678,0.02689,0.02615,0.0265,108189022.2,2867961.262824,28103,,
2024-07-03,0.0265,0.0267,0.02478,0.0249,183883575.1,4687601.78401,38256,,
2024-07-04,0.0249,0.02504,0.02252,0.0227,379740428.4,8972978.168389,70252,,
2024-07-05,0.0227,0.02397,0.02016,0.02352,769678552.0,16880374.604702,125163,,
2024-07-06,0.02351,0.02492,0.0231,0.0243,206409275.3,4964558.51236,33389,,
2024-07-07,0.02432,0.02438,0.02248,0.02265,153650101.1,3625302.714251,31383,,
