date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2025-04-11,0.4199,0.6,0.4199,0.528,17599961.7,9446644.05937,45422,,
2025-04-12,0.5283,0.6181,0.5195,0.6136,28880391.3,16355605.60992,89320,,
2025-04-13,0.6136,0.6373,0.5227,0.5408,11757790.5,6807837.25955,49053,,
2025-04-14,0.5404,0.5924,0.5342,0.5777,9145698.0,5156424.61165,53192,,
2025-04-15,0.5779,0.63,0.5556,0.5585,11969384.7,7083130.59686,83420,,
2025-04-16,0.5584,0.5646,0.5286,0.5368,8808906.6,4815056.90412,69045,,
2025-04-17,0.5367,0.5723,0.5253,0.5565,6086202.0,3339170.92752,51934,,
2025-04-18,0.5565,0.6,0.5424,0.5869,8274093.4,4717467.87336,63131,,
2025-04-19,0.5867,0.5924,0.5642,0.5827,4245128.3,2454593.37714,37678,,
2025-04-20,0.5826,0.5894,0.5482,0.5734,5144550.4,2922236.08589,39213,,
2025-04-21,0.5736,0.6013,0.5609,0.5677,6279965.5,3676908.24538,60167,,
2025-04-22,0.5676,0.6999,0.5505,0.6898,12441352.1,7801282.11481,77228,,
2025-04-23,0.6898,0.8518,0.6898,0.7264,32865810.3,25334539.76318,233340,,
2025-04-24,0.7263,0.7751,0.6732,0.7751,19554076.3,13957646.27622,179309,,
2025-04-25,0.7749,0.9855,0.7371,0.9239,42578607.6,37559797.24578,432529,,
2025-04-26,0.9241,1.1805,0.9188,1.1062,49090985.1,52408480.30401,594475,,
2025-04-27,1.1062,1.1681,1.0466,1.0685,27188997.7,29742120.32937,392554,,
2025-04-28,1.0691,1.4372,1.0275,1.4029,54676778.1,68983795.99166,679845,,
2025-04-29,1.4027,1.5352,1.3401,1.3789,39722521.0,57683366.17563,556266,,
2025-04-30,1.3789,1.5496,1.1967,1.5391,40473855.2,54041345.70762,530908,,
2025-05-01,1.539,1.795,1.4944,1.6394,50023988.3,83825345.44808,815051,,
2025-05-02,1.6394,1.894,1.5871,1.7599,42607890.3,74711831.81586,625184,,
2025-05-03,1.7608,1.8489,1.66,1.6927,27344036.2,47965952.40604,415610,,
2025-05-04,1.6937,1.7567,1.5784,1.638,31753345.8,52738119.55228,436952,,
2025-05-05,1.638,1.849,1.5786,1.6538,36124748.2,61471513.30618,506358,,
2025-05-06,1.6538,1.7029,1.3827,1.4898,51568227.5,78976893.15642,646206,,
2025-05-07,1.4896,1.5266,1.2703,1.3919,40733488.6,56352204.33296,511917,,
2025-05-08,1.3922,2.1416,1.3653,2.0871,73864077.5,127889411.36184,1054860,,
2025-05-09,2.0877,2.1852,1.8767,1.9484,63084025.4,127585366.58243,994761,,
2025-05-10,1.9484,2.0608,1.8735,2.0124,35474240.5,69517247.10292,557957,,
2025-05-11,2.0122,2.06,1.8604,1.9472,28388170.7,55061013.06432,477015,,
2025-05-12,1.9473,2.2213,1.8314,1.9963,59061975.0,120902089.39575,765039,,
2025-05-13,1.9963,2.1563,1.8806,2.0465,29852638.7,60804840.67813,423100,,
2025-05-14,2.0465,2.0567,1.9195,1.9888,22289186.2,44391633.81272,365673,,
2025-05-15,1.989,2.0366,1.7,1.8256,26880319.7,50687005.06714,399984,,
2025-05-16,1.8255,1.9396,1.7666,1.7953,18783003.5,34836927.52746,291509,,
2025-05-17,1.7953,1.8065,1.6463,1.6861,17666641.9,30073704.0419,254042,,
2025-05-18,1.6862,2.1034,1.6679,2.0322,39351056.9,75560495.22856,526025,,
2025-05-19,2.0319,2.0645,1.7723,1.9482,38396582.4,72929574.74893,512019,,
2025-05-20,1.9485,2.0446,1.8655,1.9398,24773963.0,48048367.94472,392220,,
2025-05-21,1.9399,2.1433,1.888,1.985,31896881.4,63201197.64728,581663,,
2025-05-22,1.9851,2.0728,1.9467,2.0506,22255505.2,44689916.37099,369515,,
2025-05-23,2.0504,2.2663,1.8985,1.9393,51696772.5,108182004.19009,738899,,
2025-05-24,1.9395,2.0747,1.9239,2.006,17339601.1,34540192.54196,332487,1263409740.4345145,372567833.0652059
2025-05-25,2.0062,2.0503,1.8214,2.0315,22158286.4,42836657.04209,348224,1306680923.7465675,117174344.8513823
2025-05-26,2.0315,2.29,2.0178,2.1323,34643757.3,75209812.58867,490410,1331107901.2272835,222925189.74206564
2025-05-27,2.1324,2.589,2.0523,2.4455,44871534.4,105372153.00361,585160,1389123336.2275217,319295814.0259801
2025-05-28,2.4454,2.48,2.276,2.3299,25678710.2,61093989.36631,366549,1603872310.004076,648157216.6145622
2025-05-29,2.3299,2.4542,2.2,2.2547,26083401.8,60479448.31964,401678,1526331348.2898328,280778220.510018
2025-05-30,2.2543,2.3176,1.9286,1.9341,38015144.5,80549422.31686,541663,1472664517.6677897,304709880.1628003
2025-05-31,1.9342,2.1437,1.8048,2.0152,41328026.2,82125096.79937,658715,1287964768.9711382,420618536.31135696
2025-06-01,2.0152,2.1156,1.892,2.0644,24519289.7,49095619.68509,374515,1319736335.8021076,347304850.85598207
2025-06-02,2.0641,2.0698,1.863,1.9741,26737024.0,52213320.66421,406980,1358743469.1533675,248096185.00222483
2025-06-03,1.9742,2.0827,1.9189,1.9408,26041942.3,51714418.1905,440194,1299456367.66641,296416918.780168
2025-06-04,1.9408,1.9836,1.6911,1.7854,29521960.2,54665533.4549,377082,1271331911.160401,295069969.18576235
2025-06-05,1.7849,1.8487,1.6071,1.6539,34041555.1,59010094.29799,564922,1167920180.90821,221991966.19989592
2025-06-06,1.654,1.9,1.6192,1.8569,40728266.3,71739891.90535,575916,1087680766.5410628,292714992.3090018
2025-06-07,1.8569,1.9192,1.8038,1.8278,21984390.6,40791538.62085,331044,1207554762.3995001,311724648.966621
2025-06-08,1.8281,1.89,1.7484,1.8253,12993530.0,23672043.76375,207785,1193175750.0223377,208098004.57325047
2025-06-09,1.8254,2.04,1.7641,2.0123,29879932.9,56717840.61122,404368,1193444329.4372692,150002500.89653233
2025-06-10,2.0122,2.1361,1.9311,2.1071,20193733.8,41080957.96196,340964,1317628277.3090818,301573604.204905
2025-06-11,2.1071,2.3227,2.0469,2.111,25388538.0,54973101.73434,440732,1374676840.6518254,273490625.03398937
2025-06-12,2.1112,2.1565,1.854,1.8599,32775331.3,66499049.84145,523565,1377800254.9034493,323254525.8574949
2025-06-13,1.8607,1.911,1.7061,1.9099,32004157.2,58015372.175,587000,1226563538.1018107,318263948.6008015
2025-06-14,1.9098,1.9359,1.77,1.8086,15794411.6,28980483.8437,279967,1240037129.580269,354660275.3020029
2025-06-15,1.8086,1.868,1.7781,1.8422,10566327.1,19272194.16393,219302,1192771369.1900177,163410021.49655548
2025-06-16,1.8423,2.0146,1.7,1.825,25732337.1,49184227.46001,420749,1210185394.3336651,116028764.31307895
2025-06-17,1.8247,2.0,1.6544,1.6994,28220331.6,49737838.01751,443605,1207571174.0215628,256532195.04839814
2025-06-18,1.6995,1.7226,1.5685,1.6953,22077722.1,36604708.71361,357379,1116648433.6073556,282503463.1911076
2025-06-19,1.6953,1.7396,1.6361,1.6702,17230307.9,29142709.76819,232475,1110313237.3558657,219124524.88471547
2025-06-20,1.6702,1.7699,1.5195,1.5462,21844550.6,35824047.44387,297724,1097477794.8473635,150833050.56520662
2025-06-21,1.5463,1.5774,1.3469,1.4051,23972727.1,34714848.27015,260358,1015951390.4574789,211609706.76696223
2025-06-22,1.4054,1.4503,1.2608,1.3732,39304794.6,52442913.60172,481454,908545615.9844065,189754832.70033044
2025-06-23,1.3733,1.763,1.335,1.6934,42220531.0,63050631.71376,490780,894606871.4042394,262096159.17765167
2025-06-24,1.6935,1.7318,1.565,1.5977,26359018.7,43434944.15131,351892,1112734092.7207859,324706429.6264745
2025-06-25,1.5977,1.6474,1.4281,1.4335,28017724.5,42756116.11726,309665,1042528288.668939,272981507.5934861
2025-06-26,1.4335,1.5765,1.3832,1.443,28168633.6,40896505.87085,292931,939806329.2813917,205582314.07581383
2025-06-27,1.4428,1.5292,1.406,1.4591,19973787.7,29067265.19274,232694,946185386.6679462,248915496.77401403
2025-06-28,1.4592,1.5457,1.4379,1.52,10917192.1,16188248.85834,146783,957077259.5759025,181191598.10932273
2025-06-29,1.52,1.6707,1.4776,1.6241,16359461.8,25719556.53562,217064,996034557.8434389,117733002.99635036
2025-06-30,1.6241,1.6372,1.4675,1.5044,21238872.0,32724833.03221,263625,1067412475.5959082,177819610.95974365
2025-07-01,1.5045,1.518,1.4198,1.4317,10380817.5,15185474.55248,154259,985103973.0681608,181658670.68964288
2025-07-02,1.4315,1.66,1.4025,1.606,22718388.1,35368582.76198,283893,935550620.1953534,148902148.18592995
2025-07-03,1.606,1.715,1.5872,1.658,20534856.8,33909247.8812,268770,1053267433.4297199,259483876.50733125
2025-07-04,1.6579,1.6761,1.51,1.5492,17862854.5,28274810.27427,191148,1082728434.6556034,260571696.6656003
2025-07-05,1.5492,1.6222,1.5148,1.5414,10982331.7,17157241.63857,133638,1016892918.8819021,185503906.15594745
2025-07-06,1.5415,1.5949,1.5173,1.5528,11613026.2,18027730.91268,149063,1010863857.0597793,125639223.70959626
2025-07-07,1.5528,1.5973,1.4642,1.4976,11665399.9,17777582.91107,154085,1016517841.1291277,131998810.89433315
2025-07-08,1.4976,1.5208,1.43,1.4732,12907573.6,18960181.81979,187680,979521599.0559524,129110916.80236952
2025-07-09,1.4733,1.5791,1.4422,1.5599,19635654.7,29608832.878,243756,965869453.5095191,127379910.00610611
2025-07-10,1.56,1.7922,1.5541,1.7616,28864705.5,47877252.65329,328058,1022634922.4068826,194321502.3407363
2025-07-11,1.7614,1.8809,1.4628,1.7134,27740623.1,49754420.92489,381586,1151037416.320785,354725441.8624126
