date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,2.9237,2.9432,2.7187,2.8685,41668130.58,117702140.272153,403255,,
2024-05-25,2.8682,3.1,2.842,3.0923,53890231.77,160847802.194564,532733,,
2024-05-26,3.0925,3.2459,2.92,2.9512,58038493.5,178780942.86272,603864,,
2024-05-27,2.9517,3.4496,2.9423,3.4008,90906811.44,292921731.703681,995933,,
2024-05-28,3.4004,3.8457,3.1651,3.775,122519320.19,434317369.54152,1555903,,
2024-05-29,3.7753,4.08,3.6687,3.6785,87934825.71,338351164.679396,1190565,,
2024-05-30,3.6786,3.8028,3.3165,3.3668,83709220.16,293663964.862956,1040374,,
2024-05-31,3.3663,3.5572,3.18,3.3051,54836566.08,185231734.734739,675211,,
2024-06-01,3.3056,3.4523,3.262,3.2765,30206442.42,101529912.786634,342299,,
2024-06-02,3.2765,3.3563,3.1003,3.1999,45977303.35,148577831.438486,468518,,
2024-06-03,3.2,3.5151,3.07,3.2657,68285558.8,227733112.868404,687042,,
2024-06-04,3.2652,3.5037,3.2001,3.4103,43735468.37,145701301.074824,470118,,
2024-06-05,3.411,3.588,3.355,3.3925,46022580.65,159635878.343673,536304,,
2024-06-06,3.3931,3.4525,3.2196,3.233,32108157.72,107343508.854576,361607,,
2024-06-07,3.233,3.353,2.5392,2.8594,77647674.35,231603942.294068,721071,,
2024-06-08,2.8593,2.9354,2.65,2.7074,53525300.51,148524594.587385,528928,,
2024-06-09,2.7078,2.8156,2.642,2.7756,40502913.76,110484707.457287,375350,,
2024-06-10,2.7757,2.9178,2.6467,2.6937,47058244.7,130120569.439759,446680,,
2024-06-11,2.6932,2.7357,2.3899,2.5458,78190106.58,201544835.023068,772051,,
2024-06-12,2.5458,2.907,2.4364,2.6653,88623014.86,239274606.652033,821760,,
2024-06-13,2.6652,2.6652,2.3561,2.386,59085235.21,147371666.106075,515729,,
2024-06-14,2.3869,2.4913,2.2094,2.3417,73539185.26,173412886.721482,577893,,
2024-06-15,2.3411,2.4641,2.3058,2.4201,33365592.64,79880831.90744,290274,,
2024-06-16,2.4202,2.6387,2.3616,2.6072,39278135.93,99111260.229071,389051,,
2024-06-17,2.6071,2.6441,2.2275,2.3088,71347784.78,171771831.107777,595676,,
2024-06-18,2.3088,2.3281,1.8809,2.0661,138800315.39,284830702.837215,974406,,
2024-06-19,2.0665,2.1642,1.9728,2.0276,70503786.62,145798509.500715,524055,,
2024-06-20,2.0278,2.19,1.9473,1.9528,85284133.09,175330432.258032,622114,,
2024-06-21,1.9524,1.9846,1.7368,1.7605,104870459.15,194102414.46407,735749,,
2024-06-22,1.7605,1.8193,1.704,1.742,55392939.04,98503082.378358,346401,,
2024-06-23,1.7427,1.806,1.5739,1.5856,78656622.03,132589377.811534,423603,,
2024-06-24,1.5855,1.86,1.478,1.8274,170333640.39,279947989.022406,1102104,,
2024-06-25,1.8274,2.088,1.8078,2.04,133775326.06,259170820.638754,877271,,
2024-06-26,2.0399,2.165,1.9085,2.0076,100598918.24,202530763.353242,690062,,
2024-06-27,2.0078,2.2625,1.9647,2.1169,119641787.33,252059530.647463,868906,,
2024-06-28,2.1168,2.1483,1.8952,1.983,72392319.66,146026337.482295,592041,,
2024-06-29,1.9825,2.1778,1.9825,2.091,58941280.11,123737627.522794,477718,,
2024-06-30,2.0914,2.2176,1.9185,2.1991,85248470.09,174838885.354686,655832,,
2024-07-01,2.1992,2.3552,2.1632,2.2713,86181391.25,195530771.654923,856288,,
2024-07-02,2.2713,2.37,2.1577,2.2054,55238163.97,124114416.473747,607247,,
2024-07-03,2.2062,2.2071,1.7923,1.81,103941477.24,204855161.267543,800808,,
2024-07-04,1.8098,1.8968,1.7018,1.7286,117439546.45,211516775.140357,779867,,
2024-07-05,1.7282,1.9864,1.4855,1.9212,188503858.06,322132488.674691,1270023,,
2024-07-06,1.921,2.0651,1.8784,2.0074,88115696.26,174166765.351174,615223,,
2024-07-07,2.0071,2.017,1.6458,1.6664,109502446.43,198622278.32406,747788,,
2024-07-08,1.6665,1.8181,1.5571,1.656,166380887.6,280263243.009308,1020545,,
2024-07-09,1.656,1.75,1.6114,1.7028,97260750.89,164805175.031497,565487,,
2024-07-10,1.7028,1.7834,1.6028,1.6471,81413896.9,137482273.587991,456582,,
2024-07-11,1.647,1.7345,1.4961,1.5434,88198311.98,142599414.310297,508415,,
2024-07-12,1.5432,1.6203,1.5215,1.5675,68427844.47,107499857.494162,390467,,
2024-07-13,1.5674,1.6441,1.5634,1.6023,44766888.12,71582312.758531,276781,,
2024-07-14,1.6022,1.763,1.5999,1.7321,75853053.68,128517078.247904,392614,,
2024-07-15,1.7314,2.1768,1.7251,2.1585,117503759.15,224011653.392055,677020,,
2024-07-16,2.1583,2.305,2.0613,2.2037,135894836.86,296754697.796154,962240,,
2024-07-17,2.2037,2.2999,2.0951,2.17,78203846.7,171861060.814515,556665,,
2024-07-18,2.1701,2.4965,2.1701,2.4392,123075053.48,288274487.343948,941048,,
2024-07-19,2.4393,2.5865,2.3097,2.5452,101096811.78,249184617.173495,859948,,
2024-07-20,2.5452,2.68,2.4575,2.6386,54944833.34,141216681.739947,485286,,
2024-07-21,2.639,2.8449,2.4021,2.8221,70352737.65,183802584.159287,608008,,
2024-07-22,2.822,2.8952,2.677,2.739,59705414.94,166787437.904579,449623,,
2024-07-23,2.738,2.779,2.501,2.555,67242098.95,175141053.497519,512823,,
2024-07-24,2.555,2.683,2.452,2.498,51546825.26,133840145.690015,451192,,
2024-07-25,2.498,2.579,2.32,2.515,69846712.8,173072314.348412,634430,,
2024-07-26,2.515,2.676,2.503,2.667,40325766.7,104540498.93102,323657,,
2024-07-27,2.666,2.704,2.41,2.485,47303501.88,121012507.23118,407552,,
2024-07-28,2.485,2.508,2.382,2.412,22912718.57,56044115.37205,192525,,
2024-07-29,2.412,2.568,2.28,2.283,54291477.3,133554169.468892,380791,,
2024-07-30,2.283,2.39,2.25,2.288,36527062.34,84862927.518691,277985,,
2024-07-31,2.288,2.354,2.143,2.177,39755936.04,89651865.707072,263847,,
2024-08-01,2.178,2.194,1.821,1.962,123740175.16,245365945.590973,594514,,
2024-08-02,1.962,1.998,1.644,1.664,103642152.92,188597246.802886,475292,,
2024-08-03,1.664,1.737,1.537,1.597,100612538.93,165450537.0794,437556,,
2024-08-04,1.597,1.635,1.351,1.44,129915870.88,193723975.778451,455622,,
2024-08-05,1.439,1.47,1.07,1.262,384779854.53,479063940.819064,1385436,,
2024-08-06,1.262,1.475,1.257,1.416,135329996.31,189141976.72922,532302,,
2024-08-07,1.416,1.777,1.369,1.607,224818608.61,368804775.07857,1015825,,
2024-08-08,1.606,1.947,1.549,1.911,173065849.48,297917236.2161,815644,,
2024-08-09,1.912,1.957,1.745,1.82,100732420.64,184958510.36093,544903,,
2024-08-10,1.819,1.861,1.763,1.815,42757503.19,77186333.03263,260018,,
2024-08-11,1.816,1.893,1.623,1.629,80223833.74,140464539.00026,408927,,
2024-08-12,1.629,1.821,1.623,1.725,106574853.42,183883143.31592,557905,,
2024-08-13,1.726,1.75,1.643,1.701,64333408.7,108664897.19454,381558,,
2024-08-14,1.702,1.75,1.561,1.575,75999537.67,124954480.83725,405289,,
2024-08-15,1.575,1.605,1.426,1.477,93189885.73,141483624.91355,520612,,
2024-08-16,1.476,1.505,1.34,1.393,84715674.26,119732845.9493,464027,,
2024-08-17,1.392,1.461,1.361,1.42,58678277.67,82821755.59585,283130,,
2024-08-18,1.421,1.479,1.386,1.391,60227139.42,86091153.95986,304448,,
2024-08-19,1.392,1.444,1.325,1.436,72472643.52,99946987.94254,384103,,
2024-08-20,1.435,1.622,1.414,1.555,118326686.91,182523916.50428,597328,,
2024-08-21,1.554,1.61,1.469,1.561,70371655.81,108362273.20551,443229,,
2024-08-22,1.561,1.66,1.527,1.62,63057501.2,101676896.16068,451489,,
