date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,4.697,4.767,4.468,4.589,11427302.0,52527598.3106,199517,,
2024-05-25,4.589,4.816,4.572,4.709,8369237.9,39471069.1303,181340,,
2024-05-26,4.71,4.743,4.486,4.534,7545530.9,34822758.5214,162560,,
2024-05-27,4.534,4.874,4.509,4.806,11878233.4,55799046.4913,254883,,
2024-05-28,4.807,4.81,4.545,4.666,13654230.8,63299529.6886,249863,,
2024-05-29,4.667,5.029,4.652,4.933,28156952.8,137002594.696,414305,,
2024-05-30,4.933,5.187,4.684,4.935,25938752.4,129112137.1424,360475,,
2024-05-31,4.935,4.972,4.708,4.834,13003288.9,63111457.2584,177266,,
2024-06-01,4.835,4.941,4.759,4.793,7189215.2,34766629.3284,107629,,
2024-06-02,4.793,4.862,4.591,4.678,9132120.3,43365044.5493,120894,,
2024-06-03,4.679,4.878,4.618,4.809,10768719.5,51219958.0941,168735,,
2024-06-04,4.809,4.899,4.683,4.82,10519760.7,50216826.0247,197857,,
2024-06-05,4.82,5.13,4.783,4.931,16990948.4,83739856.0849,273858,,
2024-06-06,4.931,5.089,4.734,4.809,16833892.6,83103375.0799,259708,,
2024-06-07,4.809,4.968,3.9,4.416,27009841.3,122971263.37,407528,,
2024-06-08,4.418,4.51,4.161,4.247,12904362.4,55926367.0344,189391,,
2024-06-09,4.247,4.319,4.188,4.24,6700842.2,28477988.5897,146825,,
2024-06-10,4.24,4.407,3.978,4.062,20987408.2,87926999.3854,287311,,
2024-06-11,4.062,4.109,3.701,3.802,21127688.8,82336759.5377,271402,,
2024-06-12,3.801,4.15,3.632,3.868,17494302.1,68231913.7856,240784,,
2024-06-13,3.869,3.903,3.603,3.641,11808490.9,44065176.5153,151678,,
2024-06-14,3.641,3.735,3.3,3.432,15225831.0,53523688.01,179103,,
2024-06-15,3.432,3.509,3.362,3.387,5755592.5,19846051.19,88122,,
2024-06-16,3.388,3.505,3.28,3.456,8077349.2,27340782.0818,92976,,
2024-06-17,3.456,3.492,2.97,3.027,21100848.9,67545820.1537,216373,,
2024-06-18,3.026,3.043,2.506,2.826,33818682.8,92842807.3215,353165,,
2024-06-19,2.826,2.922,2.747,2.797,14441249.9,40774343.6421,205563,,
2024-06-20,2.797,3.203,2.762,3.033,28856681.2,87320468.5998,340138,,
2024-06-21,3.033,3.139,2.96,2.981,17924886.2,54503639.969,274606,,
2024-06-22,2.981,3.074,2.907,2.937,11633145.8,34860281.0209,190481,,
2024-06-23,2.937,3.032,2.797,2.819,10035247.8,29367707.8354,170622,,
2024-06-24,2.82,2.935,2.639,2.904,17677386.2,49416010.2942,256522,,
2024-06-25,2.905,2.999,2.831,2.852,12357516.0,36093764.9876,204693,,
2024-06-26,2.852,2.935,2.722,2.782,12461159.8,35353237.1617,170786,,
2024-06-27,2.783,2.841,2.695,2.786,10327204.7,28719750.2905,134834,,
2024-06-28,2.787,2.87,2.652,2.676,14929441.1,41587162.8703,144746,,
2024-06-29,2.677,2.775,2.555,2.56,9067920.7,24212296.1583,101776,,
2024-06-30,2.561,2.585,2.328,2.47,22783215.5,56210160.1369,183256,,
2024-07-01,2.47,2.507,2.232,2.279,28909171.6,67703565.3233,228599,,
2024-07-02,2.279,2.429,2.239,2.277,20932211.7,48684366.1178,204917,,
2024-07-03,2.277,2.561,2.139,2.286,43040120.9,102439351.8269,393172,,
2024-07-04,2.287,2.398,2.062,2.093,49106181.0,110991689.0445,378906,,
2024-07-05,2.092,2.092,1.75,1.827,52608693.7,98503062.7406,365906,,
2024-07-06,1.827,2.04,1.759,2.007,26875526.9,50833347.1272,195857,,
2024-07-07,2.006,2.007,1.839,1.877,19953321.6,38541411.9912,165022,,
2024-07-08,1.878,1.962,1.781,1.82,25390515.6,47261524.1781,190267,,
2024-07-09,1.819,1.931,1.799,1.923,21832064.9,40858496.4787,167209,,
2024-07-10,1.923,2.08,1.844,1.951,33002976.2,64707802.9595,243949,,
2024-07-11,1.951,2.005,1.765,1.794,19148468.0,36477395.4534,167425,,
2024-07-12,1.794,1.835,1.726,1.782,14990183.0,26724823.0465,138196,,
2024-07-13,1.782,1.871,1.772,1.824,11612426.6,21025296.4876,101311,,
2024-07-14,1.824,1.877,1.8,1.859,11328803.3,20796810.2228,95441,,
2024-07-15,1.858,2.377,1.854,2.337,37094941.5,78156829.9885,342973,,
2024-07-16,2.337,2.882,2.106,2.818,86355613.1,214734314.656,1020572,,
2024-07-17,2.819,3.262,2.735,2.947,79644196.6,238871075.3997,1005573,,
2024-07-18,2.948,2.991,2.569,2.651,43860373.7,122566497.3503,513747,,
2024-07-19,2.651,2.938,2.523,2.768,46339920.3,124888947.742,540415,,
2024-07-20,2.768,2.809,2.547,2.643,26072233.7,69532034.8655,311652,,
2024-07-21,2.643,2.667,2.376,2.573,27201245.7,68666444.0668,281545,,
2024-07-22,2.574,2.637,2.257,2.27,25464078.8,62040434.7609,265316,,
2024-07-23,2.27,2.376,2.152,2.178,26240007.8,59595663.2681,296693,,
2024-07-24,2.178,2.36,2.143,2.208,22007863.0,49272396.8688,257129,,
2024-07-25,2.208,2.244,2.008,2.116,24628242.1,52718153.8925,281217,,
2024-07-26,2.116,2.46,2.11,2.361,32100700.4,74598887.3952,292329,,
2024-07-27,2.361,2.479,2.297,2.329,26982481.4,64218796.1295,274564,,
2024-07-28,2.329,2.4,2.243,2.347,16239298.8,37801153.3736,171166,,
2024-07-29,2.347,2.438,2.259,2.281,20445935.5,48044268.5439,195066,,
2024-07-30,2.281,2.317,2.133,2.193,12614595.8,28359824.9455,139476,,
2024-07-31,2.192,2.24,2.093,2.105,10505943.5,22913859.5236,122478,,
2024-08-01,2.106,2.147,1.903,2.08,18326581.6,37331824.2018,202066,,
2024-08-02,2.08,2.109,1.872,1.897,18321515.1,36120311.8663,229288,,
2024-08-03,1.897,1.918,1.695,1.743,20222928.7,36560652.8446,177934,,
2024-08-04,1.744,1.778,1.553,1.64,22378614.0,37403957.9743,148317,,
2024-08-05,1.641,1.68,1.342,1.578,56793577.9,85696504.2715,538401,,
2024-08-06,1.579,1.759,1.571,1.648,26136287.8,44218829.4785,198675,,
2024-08-07,1.648,1.719,1.527,1.55,21033656.9,34180723.8486,166046,,
2024-08-08,1.55,1.869,1.518,1.857,18174209.0,30551170.2016,157799,,
2024-08-09,1.858,1.891,1.689,1.745,18904126.1,33496591.9633,216246,,
2024-08-10,1.745,1.796,1.709,1.755,10470304.4,18303734.5011,126907,,
2024-08-11,1.756,1.838,1.589,1.601,16520609.6,28535395.9978,178807,,
2024-08-12,1.601,1.748,1.594,1.701,18270942.7,30629538.4528,233103,,
2024-08-13,1.701,1.71,1.627,1.671,11648039.5,19407084.5148,175773,,
2024-08-14,1.671,1.697,1.562,1.591,13776890.2,22590022.4486,184124,,
2024-08-15,1.591,1.611,1.457,1.495,14561600.1,22406193.0944,213799,,
2024-08-16,1.495,1.53,1.431,1.472,12247045.8,18168610.9083,166678,,
2024-08-17,1.472,1.515,1.457,1.505,7385920.5,10983805.0009,94040,,
2024-08-18,1.506,1.583,1.481,1.514,9139013.7,14012575.6832,115683,,
2024-08-19,1.514,1.55,1.417,1.532,15417841.6,23039206.583,184541,,
2024-08-20,1.532,1.6,1.508,1.522,18096421.8,28102204.4631,176114,,
