date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2025-09-01,0.2,0.478,0.2,0.2335,3885050969.0,996450099.59235,1561709,6656403820.804826,2312997788.6743655
2025-09-02,0.2335,0.2602,0.2156,0.2271,2049194844.4,482030882.42442,626335,6656403820.804826,2312997788.6743655
2025-09-03,0.2271,0.2345,0.2093,0.2173,938469371.5,208440159.00652,401567,6242912321.346511,1532123186.0847077
2025-09-04,0.2172,0.2186,0.1611,0.1867,2578099926.3,472230816.39192,968037,5961500776.076422,746940613.8127089
2025-09-05,0.1866,0.1928,0.1736,0.1812,1197014524.6,220249910.66841,537355,5185086854.42622,1555936430.9035645
2025-09-06,0.1812,0.22,0.1802,0.2162,1340046809.7,268496326.28818,637443,4961992828.556703,757224509.2376711
2025-09-07,0.2162,0.2449,0.2146,0.2251,1429508177.6,328818585.03364,764073,5961347784.054906,892038520.4669205
2025-09-08,0.2252,0.2332,0.2016,0.2111,1358523933.1,288312225.9448,622583,6161900093.234597,1120514874.7199042
2025-09-09,0.2111,0.2235,0.1912,0.2006,846687631.1,175155440.02586,452832,5733253316.947378,921993572.2305344
2025-09-10,0.2006,0.2125,0.1952,0.2019,602526840.6,122732691.7392,350239,5478619063.8972,673403929.6302825
2025-09-11,0.2019,0.2058,0.1858,0.1999,551120436.3,109044911.4853,281854,5523804385.454971,484104607.4134202
2025-09-12,0.1998,0.2125,0.1939,0.2071,520689244.4,106210116.85911,242447,5453167571.879287,464756821.0766232
2025-09-13,0.2071,0.226,0.2021,0.2253,573313727.9,121915286.06867,273910,5682346710.078059,460247737.5016984
2025-09-14,0.2253,0.2408,0.2052,0.2104,1397789547.7,309123099.66564,677606,6091388564.32773,550887026.5879811
2025-09-15,0.2104,0.223,0.2038,0.2168,906614915.1,194660129.4221,433700,5703926096.2140665,1018931867.2824423
2025-09-16,0.2167,0.2259,0.2131,0.2241,564085863.2,124663429.44185,288409,5911360744.627681,728297826.7549767
2025-09-17,0.224,0.2249,0.2072,0.2205,461956069.2,100778732.58149,238886,6106923427.078088,428211548.21619904
2025-09-18,0.2204,0.2259,0.2177,0.2202,359800387.7,79675381.00203,157804,6027753407.20361,377133516.0077449
2025-09-19,0.2201,0.2378,0.2136,0.2233,941373197.8,212060086.69619,395930,5997123613.848526,291504645.9549624
2025-09-20,0.2233,0.2286,0.2176,0.2245,423969436.3,94180294.58573,168017,6080458168.61244,911285258.2298931
2025-09-21,0.2246,0.2565,0.2239,0.2436,1074191220.4,259246095.86371,530908,6122299412.095941,463632310.83167505
2025-09-22,0.2436,0.2453,0.2017,0.2122,1019148938.0,222519607.59569,474457,6627559225.680454,1404267289.9016225
2025-09-23,0.2121,0.2143,0.1926,0.1967,655730922.4,131817643.34447,340972,5802648057.086746,881372894.1114571
2025-09-24,0.1968,0.2059,0.191,0.1977,339807965.3,67908176.84846,267389,5377414296.905674,553059645.1626402
2025-09-25,0.1977,0.2046,0.1814,0.1923,681808877.5,133502949.69799,456761,5377157659.276734,383080187.4065377
2025-09-26,0.1924,0.2151,0.1897,0.2101,467410292.4,93873772.32827,325476,5161164793.364755,662226033.5536972
2025-09-27,0.2102,0.2117,0.2024,0.2065,208454278.5,43215000.76168,170745,5699344647.783653,473567918.7329688
2025-09-28,0.2066,0.2228,0.2032,0.2207,397740609.4,84718102.07612,264052,5631502794.038476,241329045.61739275
2025-09-29,0.2208,0.2209,0.2002,0.2013,490163259.7,101951001.60666,306099,6026782206.104346,451167132.65342206
2025-09-30,0.2013,0.2038,0.192,0.1962,408980734.6,80917188.13598,260507,5505287472.055175,471415698.0653528
2025-10-01,0.1961,0.2093,0.1941,0.2056,313986744.5,63156906.2047,190929,5331765365.506881,329551863.8309674
2025-10-02,0.2057,0.2098,0.2009,0.2082,254118638.8,52372217.86653,167860,5597956791.913685,297019735.34728694
2025-10-03,0.2083,0.2119,0.198,0.2013,383402114.8,78029070.01915,231974,5648848774.269871,272901326.60060036
2025-10-04,0.2012,0.2038,0.1967,0.2006,127125723.0,25512118.116,106164,5489235795.182896,440837788.2191874
2025-10-05,0.2006,0.2041,0.1966,0.1996,169673181.4,34113252.56484,101253,5485220202.050811,147960411.3739526
2025-10-06,0.1996,0.2019,0.1975,0.1992,163855014.0,32715687.02466,96909,5448793126.532446,176875706.44542843
2025-10-07,0.1992,0.2001,0.1803,0.1822,530389071.3,100535037.95815,232323,5445912128.063546,176050273.67555833
