date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2026-03-26,4415.0,4500.0,4357.7,4406.39,2619.7387,11599391.210382,41383,2512662591.7853103,636545375.5302031
2026-03-27,4406.4,4545.69,4377.8,4494.53,4983.8291,22240553.238828,260322,2461993509.322279,796236301.9752359
2026-03-28,4494.53,4499.3,4484.57,4488.26,10373.442,46602566.738143,203606,2512920814.9973736,535131399.4123322
2026-03-29,4488.32,4509.99,4443.35,4447.52,9573.6958,42978379.973869,156000,2510396365.7383823,169059657.24671745
2026-03-30,4447.74,4575.0,4420.01,4505.71,8683.8355,39218844.198033,157821,2487736533.328458,276918192.1496409
2026-03-31,4505.7,4673.54,4476.1,4670.22,6113.663,28074397.697434,145091,2521550428.731037,484571261.01136047
2026-04-01,4670.21,4761.42,4642.7,4746.96,4467.9616,21047191.371583,118793,2608085129.6767426,558998910.0912609
2026-04-02,4746.78,4761.03,4533.89,4650.29,6590.0844,30528589.256712,133725,2656771444.848318,472622623.7911222
2026-04-03,4650.3,4650.79,4626.84,4632.22,1644.8314,7629763.402992,111966,2602277831.329302,597300973.3939687
2026-04-04,4632.22,4646.88,4628.99,4633.68,7144.7162,33166600.028619,161961,2591957709.3533688,124931387.80846283
2026-04-05,4633.69,4638.49,4578.91,4584.86,9584.3048,44311646.704031,199308,2594331467.4286723,143406257.06141904
2026-04-06,4584.9,4673.65,4576.2,4626.7,4384.3609,20296717.563513,113047,2565128880.5471563,268434974.92933238
2026-04-07,4626.15,4790.12,4585.58,4787.09,8740.7067,40661822.123355,134183,2587896861.644707,342767340.60743976
2026-04-08,4787.05,4810.46,4671.86,4692.96,5730.1217,27218524.41029,118973,2673106129.921875,548782206.4624707
2026-04-09,4692.72,4776.12,4674.87,4737.89,5101.1943,24129731.485749,119380,2627832497.2041664,496403172.7033271
2026-04-10,4737.5,4767.14,4708.0,4721.49,3848.0804,18228169.036291,124816,2650578779.608566,275657472.30231154
2026-04-11,4721.48,4730.83,4719.2,4723.29,6071.6454,28673439.271945,146984,2643491389.3688087,255471446.11969355
2026-04-12,4723.3,4725.76,4622.22,4649.75,9744.4292,45721460.798494,151561,2644401192.8912954,94138354.30697405
2026-04-13,4649.75,4738.88,4642.61,4731.57,9544.5317,44851340.360382,262208,2599359196.8914332,229338433.21319693
2026-04-14,4731.57,4824.18,4727.09,4811.78,14876.6959,71005097.900412,407433,2648928506.8951316,327851749.4700827
2026-04-15,4811.78,4844.84,4765.91,4802.05,36466.4759,174627168.887043,537120,2695575174.876539,395304984.6964332
2026-04-16,4802.05,4815.59,4759.28,4773.09,26385.6699,126297721.113752,632140,2690290256.893115,433327570.90587205
2026-04-17,4773.1,4865.08,4751.83,4814.84,186663.8303,891136423.529329,1193576,2673128780.4355326,280329982.4266413
2026-04-18,4814.84,4826.43,4776.25,4776.26,828.2926,3977338.227299,14079,2696365564.5079675,1188103766.5889866
2026-04-19,4776.01,4795.09,4721.32,4735.75,1729.5141,8245448.259935,38544,2675355370.9564095,77924997.75493418
2026-04-20,4735.51,4810.42,4725.88,4800.65,2121.9697,10141041.075364,30702,2648635745.1957316,139138672.88306266
2026-04-21,4800.79,4809.37,4657.56,4727.24,3337.9019,15822547.704832,43727,2688663877.7486997,168298318.34912464
2026-04-22,4726.77,4758.96,4707.17,4710.44,1926.73,9116766.765158,72545,2646780770.7510376,205313894.4329901
2026-04-23,4710.43,4733.19,4656.0,4686.25,2627.3979,12342341.833411,59572,2637348299.7792096,124539318.07685977
2026-04-24,4686.5,4722.86,4650.02,4690.58,2214.5652,10378873.715167,36100,2625152443.168685,180001367.2705346
2026-04-25,4690.58,4701.0,4688.1,4688.1,369.5294,1735028.678543,10364,2626745686.727448,165706850.08595723
2026-04-26,4688.11,4709.48,4670.0,4675.48,824.1542,3867130.025253,16622,2626758930.857907,148954620.95514038
2026-04-27,4674.75,4713.48,4657.87,4685.92,1906.1787,8927706.209558,49034,2617460029.9940143,92125125.31693971
2026-04-28,4685.93,4691.88,4550.51,4590.57,6970.397,32076670.749209,65141,2623608147.862739,121408080.35395516
2026-04-29,4590.56,4604.4,4516.77,4559.97,3218.1341,14654561.649279,48667,2567067661.269361,225725187.4805026
2026-04-30,4559.97,4636.58,4541.74,4615.21,3045.7787,14026816.28395,43649,2549898059.6256475,182272320.03918526
2026-05-01,4615.2,4647.86,4560.77,4602.99,3233.259,14881258.660602,41306,2584671196.070106,180406293.10486683
2026-05-02,4603.0,4604.85,4597.29,4598.38,401.9546,1849446.639053,9708,2726189976.4518456,166604524.7778665
2026-05-03,4598.39,4632.58,4597.45,4605.7,1218.7083,5623619.822798,17374,2723497769.9208226,46514182.769580215
2026-05-04,4605.69,4611.38,4504.07,4517.56,5164.1831,23493166.937403,58096,2728804967.724858,84670812.4439426
2026-05-05,4517.28,4586.67,4513.1,4585.0,2951.4806,13441375.113355,35476,2676334494.8715715,255986844.2091021
2026-05-06,4585.17,4709.98,4580.01,4685.28,3832.1337,17866853.216245,47517,2714714079.7804265,145737871.8481724
2026-05-07,4685.52,4750.68,4672.34,4696.0,4237.4404,19961759.584246,46709,2774053768.6050663,269687018.61374754
2026-05-08,4696.16,4736.15,4687.5,4700.89,2029.7802,9554358.295583,31861,2780006565.5097227,222033457.09286162
2026-05-09,4700.9,4711.7,4698.13,4709.01,455.7045,2142834.208236,11762,2784668670.759069,152216202.65681595
2026-05-10,4709.01,4719.16,4677.0,4685.68,1554.6352,7300726.349821,20253,2788859439.3921256,53043547.59983278
2026-05-11,4685.67,4755.65,4646.62,4754.19,2806.1209,13178443.80824,35171,2778341269.8994627,242541478.20783436
2026-05-12,4754.19,4759.43,4642.19,4712.2,2558.1381,11996915.646835,39930,2811303969.5729485,423765797.43428075
2026-05-13,4712.06,4720.0,4666.7,4689.35,1736.3133,8147825.453904,33026,2790544445.0237274,175727613.79012367
2026-05-14,4689.35,4708.43,4644.09,4651.81,2230.9493,10430783.079513,35865,2775865364.37242,130710317.91219129
2026-05-15,4651.81,4656.15,4520.0,4542.11,5990.2936,27380053.01951,73673,2756085664.131353,195750967.6019263
2026-05-16,4542.1,4542.96,4522.31,4538.25,1614.27,7317194.723441,13338,2688526876.433033,381711739.9717387
2026-05-17,4538.26,4552.18,4525.78,4533.31,1703.2978,7726980.990395,19252,2687822940.4717674,90271514.66752784
2026-05-18,4533.31,4582.18,4479.16,4575.33,3432.6198,15569021.940963,55156,2685946503.4924855,112077901.28780773
2026-05-19,4575.33,4581.7,4473.29,4492.34,4727.7124,21334522.195484,59343,2709729420.4898486,251588062.81300545
2026-05-20,4492.34,4549.0,4461.16,4539.63,3623.2717,16298448.180591,51580,2660933719.5246925,272615655.8232294
2026-05-21,4539.63,4561.64,4486.99,4528.24,2622.1065,11853413.726428,42309,2687992426.4670453,263156257.21798292
2026-05-22,4528.25,4532.9,4489.35,4497.02,2157.8405,9733900.819521,31019,2681945408.2144246,205039582.25749093
2026-05-23,4497.02,4509.0,4495.05,4498.67,237.1532,1067503.516766,4358,2664307434.7842336,136268877.13129768
