date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,0.1092,0.1107,0.1072,0.1101,43023311.0,4705630.3096,18699,,
2024-05-25,0.1101,0.1118,0.11,0.1109,20832623.0,2312357.4418,9638,,
2024-05-26,0.1109,0.1115,0.108,0.1086,23065728.0,2528931.1219,10861,,
2024-05-27,0.1086,0.1117,0.108,0.1105,49149297.0,5383648.2524,19039,,
2024-05-28,0.1104,0.1108,0.1067,0.1079,54677533.0,5923279.1789,23405,,
2024-05-29,0.1079,0.1095,0.1064,0.1067,52553712.0,5671046.8402,21438,,
2024-05-30,0.1067,0.1079,0.1047,0.1067,59336709.0,6325228.6697,23869,,
2024-05-31,0.1067,0.1072,0.1047,0.1063,49570334.0,5258671.5613,17000,,
2024-06-01,0.1063,0.107,0.1061,0.1064,15953709.0,1700399.1435,7180,,
2024-06-02,0.1064,0.1068,0.1044,0.1051,26037193.0,2751958.7429,11386,,
2024-06-03,0.1052,0.1071,0.1045,0.1054,38581557.0,4096755.3958,14937,,
2024-06-04,0.1053,0.1069,0.1039,0.1064,47639878.0,5023973.2227,17329,,
2024-06-05,0.1064,0.1076,0.1058,0.1069,41530174.0,4431444.6497,14908,,
2024-06-06,0.107,0.107,0.1048,0.1053,38321552.0,4062960.43,13272,,
2024-06-07,0.1053,0.1069,0.0918,0.1002,107737627.0,10778826.3103,39144,,
2024-06-08,0.1001,0.1002,0.0965,0.0983,43751587.0,4304389.971,18240,,
2024-06-09,0.0983,0.0999,0.098,0.0999,23806955.0,2359637.4971,9703,,
2024-06-10,0.0999,0.1013,0.0991,0.1,35445140.0,3547007.2291,13280,,
2024-06-11,0.1,0.1003,0.0952,0.0968,58615302.0,5719155.0909,24924,,
2024-06-12,0.0968,0.101,0.0954,0.1002,47215940.0,4684877.1256,22071,,
2024-06-13,0.1001,0.1003,0.0972,0.0975,33667963.0,3326473.3642,16954,,
2024-06-14,0.0975,0.099,0.0943,0.0969,46296779.0,4472504.7735,19553,,
2024-06-15,0.0969,0.099,0.0963,0.0983,20888219.0,2035350.358,10246,,
2024-06-16,0.0983,0.0993,0.0976,0.0992,23513941.0,2315374.9843,9665,,
2024-06-17,0.0992,0.0995,0.095,0.0969,93161043.0,9109236.9112,31304,,
2024-06-18,0.0968,0.097,0.0872,0.0914,158977283.0,14429314.8506,50849,,
2024-06-19,0.0913,0.0943,0.0906,0.0934,43482913.0,4031383.0108,20383,,
2024-06-20,0.0934,0.0955,0.0929,0.0939,40734842.0,3830945.2775,17763,,
2024-06-21,0.0939,0.0945,0.0911,0.092,63902601.0,5922073.8272,23849,,
2024-06-22,0.092,0.0921,0.0906,0.0909,24329282.0,2221815.3973,10836,,
2024-06-23,0.0909,0.092,0.0889,0.0896,28967661.0,2627003.4092,10190,,
2024-06-24,0.0895,0.0898,0.0846,0.0894,95510721.0,8397168.2961,36067,,
2024-06-25,0.0893,0.0931,0.0891,0.0918,50691803.0,4608509.3945,20925,,
2024-06-26,0.0918,0.0925,0.0896,0.0902,40215031.0,3664896.5109,16531,,
2024-06-27,0.0903,0.0917,0.0887,0.0915,33527392.0,3025210.1233,12911,,
2024-06-28,0.0915,0.0932,0.0907,0.091,43085069.0,3972879.8104,16554,,
2024-06-29,0.091,0.092,0.09,0.0902,16129897.0,1468957.2505,6713,,
2024-06-30,0.0902,0.0919,0.0894,0.0913,27038557.0,2450061.9256,9596,,
2024-07-01,0.0913,0.0928,0.0905,0.0916,45577302.0,4189507.4165,14759,,
2024-07-02,0.0915,0.0943,0.0915,0.0936,37244228.0,3476419.9374,12675,,
2024-07-03,0.0937,0.0938,0.0893,0.0903,36973176.0,3381903.2247,14235,,
2024-07-04,0.0904,0.0908,0.0861,0.087,71946749.0,6355937.4615,28103,,
2024-07-05,0.087,0.087,0.0765,0.0854,208906800.0,16869351.302,63011,,
2024-07-06,0.0854,0.0909,0.085,0.0906,31956004.0,2806046.5475,16637,,
2024-07-07,0.0906,0.0906,0.0835,0.0839,27962692.0,2459831.1076,18423,,
2024-07-08,0.0839,0.0873,0.0806,0.0854,62468093.0,5279391.5733,36507,,
2024-07-09,0.0854,0.0883,0.0851,0.088,29809056.0,2601910.4,14970,,
2024-07-10,0.088,0.0893,0.0867,0.0875,31184891.0,2741675.1461,15729,,
2024-07-11,0.0876,0.0905,0.0868,0.0887,31109139.0,2763428.2931,13895,,
2024-07-12,0.0888,0.0926,0.0881,0.0913,48390191.0,4394197.0687,22913,,
2024-07-13,0.0914,0.1061,0.0914,0.1023,147804361.0,14927823.957,76469,,
2024-07-14,0.1023,0.1069,0.0996,0.1046,74906255.0,7750307.5298,42849,,
