date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,0.5288,0.5375,0.5168,0.536,322992520.0,170784784.7435,170176,,
2024-05-25,0.5359,0.5426,0.5318,0.5416,132376204.0,71152613.0006,101486,,
2024-05-26,0.5416,0.542,0.5255,0.5283,108799266.0,58125721.5082,79119,,
2024-05-27,0.5283,0.5409,0.5236,0.534,244982717.0,130266495.3384,143561,,
2024-05-28,0.5339,0.5355,0.5211,0.5287,282469800.0,149284045.0986,150940,,
2024-05-29,0.5286,0.5334,0.52,0.5238,316791079.0,167216243.8768,162150,,
2024-05-30,0.5238,0.5283,0.5127,0.5186,361762802.0,188381860.4883,155622,,
2024-05-31,0.5185,0.5259,0.5119,0.5176,304398744.0,158091721.3251,133418,,
2024-06-01,0.5176,0.5219,0.5174,0.5187,88294554.0,45883952.1242,52691,,
2024-06-02,0.5187,0.5209,0.508,0.5135,130902096.0,67445068.4335,76015,,
2024-06-03,0.5135,0.5232,0.5118,0.5199,237659106.0,123452735.8403,109799,,
2024-06-04,0.5199,0.5303,0.5182,0.5257,252531633.0,132153219.6112,116750,,
2024-06-05,0.5257,0.5326,0.524,0.5258,248045273.0,130755905.6584,118458,,
2024-06-06,0.5259,0.5281,0.5164,0.5215,289657499.0,151937470.6363,128914,,
2024-06-07,0.5214,0.528,0.4508,0.4991,549543388.0,276798279.7619,303223,,
2024-06-08,0.4991,0.5008,0.4897,0.4926,152121412.0,75330471.4663,77501,,
2024-06-09,0.4927,0.4992,0.4909,0.4986,90936082.0,45014537.6229,50688,,
2024-06-10,0.4987,0.506,0.4933,0.4969,249759346.0,124411172.2496,110268,,
2024-06-11,0.4969,0.497,0.4707,0.4802,429410619.0,207619435.3427,210041,,
2024-06-12,0.4803,0.4982,0.4742,0.4916,341106347.0,166014961.9476,181418,,
2024-06-13,0.4917,0.4917,0.4756,0.4769,290198216.0,140783932.6943,139476,,
2024-06-14,0.4768,0.4814,0.4601,0.4746,389318737.0,184650858.7677,169231,,
2024-06-15,0.4746,0.5053,0.474,0.4908,176444562.0,85997201.5014,118080,,
2024-06-16,0.4908,0.4997,0.4878,0.4891,161562815.0,79404153.9125,97290,,
2024-06-17,0.4891,0.5213,0.4838,0.5047,584945066.0,293745986.7618,376091,,
2024-06-18,0.5048,0.5096,0.469,0.491,582727016.0,286321955.7681,409042,,
2024-06-19,0.4909,0.4996,0.4868,0.4933,260612342.0,128534687.302,153010,,
2024-06-20,0.4933,0.5023,0.4883,0.4888,324974220.0,161043259.5381,163315,,
2024-06-21,0.4888,0.4959,0.4797,0.4889,336098409.0,164176087.5095,180052,,
2024-06-22,0.489,0.4897,0.4841,0.4866,79168277.0,38545568.0662,63226,,
2024-06-23,0.4867,0.4892,0.4742,0.4797,95099780.0,45970390.4546,72716,,
2024-06-24,0.4798,0.4825,0.462,0.474,385123013.0,182515167.4053,219340,,
2024-06-25,0.4741,0.4802,0.4731,0.4757,226045665.0,107619378.893,126044,,
2024-06-26,0.4758,0.4783,0.4652,0.4698,243409484.0,115124115.2514,121215,,
2024-06-27,0.4697,0.4771,0.4657,0.4753,243549420.0,114661621.303,130763,,
