date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,0.946,0.986,0.928,0.984,7633963.0,7325110.2268,31139,,
2024-05-25,0.984,1.006,0.975,0.996,3603126.7,3572964.5547,14047,,
2024-05-26,0.995,0.996,0.953,0.96,4938016.8,4802866.9923,17918,,
2024-05-27,0.959,1.01,0.949,0.996,6743091.7,6591750.5922,22206,,
2024-05-28,0.996,0.997,0.957,0.972,11103279.3,10828054.8559,35176,,
2024-05-29,0.973,0.993,0.945,0.947,7393728.7,7187040.098,23922,,
2024-05-30,0.947,0.979,0.926,0.959,4892308.7,4664664.649,20853,,
2024-05-31,0.958,0.971,0.935,0.959,4002536.8,3825134.4045,16289,,
2024-06-01,0.959,0.96,0.938,0.939,1836534.2,1740988.9578,9487,,
2024-06-02,0.939,0.95,0.919,0.925,2883866.6,2693601.1654,13524,,
2024-06-03,0.925,0.949,0.917,0.928,3811540.5,3571456.367,16163,,
2024-06-04,0.927,0.95,0.913,0.949,3586186.0,3342454.858,15861,,
2024-06-05,0.948,0.96,0.943,0.957,3101301.7,2953793.6277,12050,,
2024-06-06,0.957,0.96,0.929,0.938,1591743.4,1499892.3399,7487,,
2024-06-07,0.937,0.953,0.797,0.874,7412624.6,6640827.6146,35750,,
2024-06-08,0.874,0.879,0.824,0.829,7977369.1,6738545.5945,37128,,
2024-06-09,0.829,0.855,0.827,0.851,5825097.5,4910737.7106,23326,,
2024-06-10,0.851,0.866,0.835,0.847,11385714.4,9677196.3476,24538,,
2024-06-11,0.847,0.856,0.793,0.815,11365234.5,9350781.9132,28637,,
2024-06-12,0.815,0.862,0.797,0.848,8310260.4,6974928.2962,24590,,
2024-06-13,0.848,0.854,0.807,0.815,4289675.0,3569213.3914,17657,,
2024-06-14,0.815,0.85,0.797,0.814,4251959.7,3495488.5339,20718,,
2024-06-15,0.814,0.824,0.808,0.817,2280154.9,1862531.5073,10068,,
2024-06-16,0.817,0.821,0.805,0.817,2167309.7,1766000.0988,9486,,
2024-06-17,0.818,0.822,0.74,0.762,4534452.7,3534839.0263,29703,,
2024-06-18,0.761,0.763,0.678,0.752,9627201.6,6955984.1863,43431,,
2024-06-19,0.752,0.785,0.748,0.776,5497987.3,4227945.5486,21697,,
2024-06-20,0.776,0.801,0.771,0.779,2173883.2,1705088.8926,12539,,
2024-06-21,0.778,0.796,0.766,0.779,6647168.4,5215000.4429,18833,,
2024-06-22,0.778,0.783,0.769,0.773,938634.7,727438.4114,4454,,
2024-06-23,0.772,0.783,0.765,0.774,2172837.6,1684730.4652,7834,,
2024-06-24,0.774,0.782,0.731,0.776,10260860.2,7838388.9285,26617,,
2024-06-25,0.776,0.805,0.773,0.794,3991317.5,3155326.716,12169,,
2024-06-26,0.793,0.802,0.769,0.772,2396441.4,1872801.8471,9124,,
2024-06-27,0.772,0.793,0.758,0.776,2917330.8,2253519.9783,10246,,
2024-06-28,0.776,0.782,0.757,0.76,2229815.8,1712906.7714,8858,,
2024-06-29,0.76,0.788,0.759,0.769,907985.1,704514.0307,4841,,
2024-06-30,0.768,0.798,0.756,0.795,3158884.8,2458467.3566,10236,,
2024-07-01,0.794,0.806,0.784,0.786,2733575.5,2178302.1169,9616,,
2024-07-02,0.786,0.808,0.782,0.804,3047355.3,2425343.5903,9516,,
2024-07-03,0.804,0.804,0.758,0.768,3650379.3,2828938.2375,13994,,
2024-07-04,0.767,0.771,0.676,0.682,4947330.3,3594694.435,21891,,
2024-07-05,0.682,0.742,0.619,0.727,7709762.2,5131451.0184,35379,,
2024-07-06,0.728,0.755,0.717,0.745,3158394.9,2313625.9957,17173,,
2024-07-07,0.745,0.75,0.688,0.69,3332275.1,2417768.1643,17940,,
2024-07-08,0.69,0.735,0.667,0.715,3687366.5,2570671.2509,22426,,
2024-07-09,0.715,0.754,0.708,0.751,3745219.5,2744037.8473,17270,,
2024-07-10,0.752,0.767,0.739,0.746,706021.0,529764.1625,5857,,
2024-07-11,0.746,0.776,0.74,0.749,2888050.9,2177604.2281,13026,,
2024-07-12,0.75,0.771,0.736,0.771,2975348.7,2243206.1049,13162,,
2024-07-13,0.77,0.796,0.768,0.786,1235515.9,967044.883,7401,,
2024-07-14,0.785,0.796,0.775,0.792,1510737.3,1185300.9678,8265,,
2024-07-15,0.792,0.823,0.79,0.822,4456484.9,3564465.9965,17760,,
2024-07-16,0.823,0.831,0.786,0.822,6561678.7,5305566.2084,24070,,
2024-07-17,0.823,0.837,0.804,0.804,5252459.5,4323221.6582,17695,,
2024-07-18,0.805,0.824,0.783,0.799,3344983.6,2706694.2064,13885,,
2024-07-19,0.8,0.83,0.786,0.809,5420943.4,4378369.5003,18084,,
2024-07-20,0.81,0.815,0.789,0.805,2827731.9,2269637.2956,8389,,
2024-07-21,0.805,0.811,0.767,0.806,1654532.6,1315135.0806,7371,,
2024-07-22,0.805,0.811,0.767,0.771,2411212.7,1894087.7757,8750,,
2024-07-23,0.772,0.788,0.743,0.76,4677688.3,3582953.6632,13622,,
2024-07-24,0.759,0.775,0.738,0.744,2989848.6,2270939.95,9557,,
2024-07-25,0.744,0.749,0.716,0.745,3601479.3,2624870.4365,12785,,
2024-07-26,0.743,0.781,0.743,0.779,2482546.3,1904103.1101,8055,,
2024-07-27,0.779,0.789,0.764,0.777,1403726.1,1092491.228,6381,,
2024-07-28,0.777,0.782,0.763,0.774,1892647.6,1462234.5774,5660,,
2024-07-29,0.774,0.798,0.752,0.756,3531281.4,2756215.8846,10302,,
2024-07-30,0.756,0.769,0.739,0.753,3123032.8,2357319.2255,12678,,
2024-07-31,0.752,0.758,0.73,0.732,3653257.0,2728423.9364,9131,,
2024-08-01,0.732,0.738,0.69,0.727,5758094.6,4119829.4276,21001,,
2024-08-02,0.727,0.73,0.68,0.689,5235270.9,3694464.9808,18140,,
2024-08-03,0.69,0.708,0.664,0.685,4607280.7,3173519.9404,14478,,
2024-08-04,0.685,0.695,0.637,0.662,3174577.2,2132463.2819,12710,,
2024-08-05,0.662,0.665,0.541,0.614,7024076.5,4179527.8606,30453,,
2024-08-06,0.614,0.658,0.614,0.644,7917926.5,5078514.7349,18487,,
2024-08-07,0.645,0.683,0.631,0.64,5233567.9,3446016.9572,17336,,
2024-08-08,0.639,0.708,0.631,0.705,3570511.8,2381731.9417,13444,,
2024-08-09,0.704,0.706,0.677,0.687,1904508.2,1318360.4673,8217,,
2024-08-10,0.687,0.693,0.674,0.687,3297016.3,2253663.4824,9689,,
2024-08-11,0.687,0.695,0.65,0.653,3097123.3,2101223.386,9722,,
2024-08-12,0.653,0.687,0.651,0.677,4772026.7,3182522.1873,16452,,
2024-08-13,0.677,0.697,0.662,0.683,3473018.1,2338938.9652,11800,,
2024-08-14,0.684,0.687,0.652,0.655,3751641.8,2513072.7106,11168,,
2024-08-15,0.654,0.67,0.632,0.644,3889797.6,2555162.6499,12013,,
2024-08-16,0.644,0.657,0.63,0.649,4479633.0,2888096.7053,13487,,
2024-08-17,0.649,0.658,0.642,0.657,1510850.6,979530.8489,5887,,
2024-08-18,0.656,0.669,0.646,0.647,1547709.6,1015677.7615,6971,,
2024-08-19,0.647,0.662,0.644,0.659,2030010.7,1322712.417,9068,,
2024-08-20,0.659,0.678,0.65,0.665,2515614.7,1673290.9089,12733,,
2024-08-21,0.665,0.704,0.659,0.694,2025330.7,1383235.908,11359,,
2024-08-22,0.693,0.705,0.684,0.696,1479156.1,1029616.8558,7465,,
2024-08-23,0.696,0.747,0.693,0.742,2477415.2,1776280.888,13008,,
2024-08-24,0.742,0.756,0.732,0.75,1219413.3,906540.6942,9248,,
2024-08-25,0.75,0.751,0.721,0.738,2233262.0,1647189.8601,10912,,
2024-08-26,0.739,0.751,0.704,0.706,3208560.3,2324306.6917,15159,,
2024-08-27,0.706,0.722,0.658,0.676,3176651.5,2213134.5843,13694,,
2024-08-28,0.675,0.69,0.648,0.67,2811620.0,1883517.0702,15660,,
2024-08-29,0.669,0.691,0.662,0.672,1997267.8,1350437.6881,8979,,
2024-08-30,0.672,0.682,0.65,0.673,1308767.7,876310.4863,11432,,
2024-08-31,0.674,0.678,0.654,0.66,644069.8,429361.5768,4662,,
2024-09-01,0.659,0.661,0.624,0.63,855203.6,549672.5353,7358,,
2024-09-02,0.631,0.661,0.628,0.656,1725733.0,1115330.0502,11346,,
2024-09-03,0.656,0.665,0.622,0.624,991116.6,639053.9797,7311,,
2024-09-04,0.624,0.652,0.598,0.64,1640745.2,1031202.9666,11178,,
2024-09-05,0.639,0.643,0.611,0.617,1623220.1,1015411.0065,10008,,
2024-09-06,0.618,0.63,0.577,0.598,2164995.0,1326003.3151,9012,,
2024-09-07,0.597,0.617,0.593,0.607,973311.5,590766.8561,4167,,
2024-09-08,0.607,0.624,0.603,0.618,1404583.7,863456.099,4787,,
2024-09-09,0.619,0.648,0.616,0.643,2004148.9,1261471.8266,6712,,
2024-09-10,0.643,0.651,0.633,0.645,1529059.1,980026.1811,5259,,
2024-09-11,0.645,0.645,0.617,0.631,1283389.7,811441.0896,5868,,
2024-09-12,0.632,0.647,0.628,0.645,1178071.8,751062.0175,4191,,
2024-09-13,0.645,0.661,0.642,0.657,1481029.6,962727.1465,4430,,
2024-09-14,0.657,0.658,0.643,0.65,620193.0,402882.7945,2527,,
2024-09-15,0.65,0.655,0.623,0.628,818363.3,526770.101,5646,,
2024-09-16,0.628,0.637,0.618,0.628,2288729.7,1432464.7639,8554,,
2024-09-17,0.628,0.645,0.622,0.637,2055862.3,1310864.6945,5701,,
2024-09-18,0.637,0.652,0.617,0.65,1356388.3,854501.0498,5734,,
2024-09-19,0.65,0.685,0.65,0.679,1219014.1,817656.6012,5595,,
2024-09-20,0.681,0.698,0.673,0.693,1989368.9,1367538.8682,6037,,
2024-09-21,0.693,0.708,0.691,0.705,1827174.4,1279775.0839,6020,,
2024-09-22,0.706,0.706,0.673,0.692,756066.1,521696.1185,3078,,
2024-09-23,0.693,0.714,0.682,0.698,3925470.4,2736834.7069,11680,,
2024-09-24,0.698,0.717,0.684,0.711,1783907.8,1247246.4403,5640,,
2024-09-25,0.71,0.718,0.699,0.707,1920729.1,1360701.9526,6233,,
2024-09-26,0.707,0.742,0.698,0.74,1934226.8,1405123.019,8061,,
2024-09-27,0.739,0.757,0.737,0.756,1674840.4,1253866.7947,7552,,
2024-09-28,0.755,0.764,0.731,0.742,945045.2,707815.0301,4969,,
2024-09-29,0.741,0.758,0.728,0.746,1048982.6,777259.3004,4803,,
2024-09-30,0.745,0.747,0.7,0.705,2067270.8,1502229.4263,9744,,
2024-10-01,0.705,0.719,0.642,0.659,2274859.9,1549633.0886,12792,,
2024-10-02,0.658,0.68,0.635,0.644,1975561.5,1304541.0468,10025,,
2024-10-03,0.643,0.651,0.621,0.638,1847580.5,1173812.0509,10587,,
2024-10-04,0.639,0.661,0.634,0.657,1157902.6,748997.8042,5382,,
2024-10-05,0.657,0.668,0.651,0.664,539263.6,355962.3216,3001,,
2024-10-06,0.663,0.679,0.661,0.678,699769.4,468663.0712,3837,,
2024-10-07,0.678,0.687,0.661,0.662,1612002.3,1089674.6063,9191,,
