date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,25.31,28.0,25.2,27.75,340846.459,9064928.62824,72803,,
2024-05-25,27.74,27.82,26.47,26.91,81386.519,2209447.97692,14712,,
2024-05-26,26.87,27.18,26.17,26.52,49296.642,1309093.58115,9230,,
2024-05-27,26.55,28.14,26.0,27.0,127186.033,3476351.56158,22087,,
2024-05-28,26.98,27.06,26.18,26.66,74806.484,1992214.13598,12203,,
2024-05-29,26.64,27.43,26.35,26.83,73733.935,1988836.79241,16607,,
2024-05-30,26.82,27.25,26.2,26.72,81177.124,2174808.00232,13820,,
2024-05-31,26.73,27.17,26.34,26.97,60968.183,1631389.20721,11102,,
2024-06-01,26.98,27.08,26.32,27.06,54652.918,1460857.25879,10330,,
2024-06-02,27.05,27.35,26.22,26.41,101286.535,2704794.81963,15272,,
2024-06-03,26.37,26.85,25.31,25.5,127680.72,3338501.2088,18831,,
2024-06-04,25.52,28.65,25.03,27.57,219157.244,5878808.83737,47819,,
2024-06-05,27.58,27.79,26.38,26.51,117629.418,3184087.95289,24007,,
2024-06-06,26.52,27.39,26.02,26.76,75706.493,2016325.1438,19030,,
2024-06-07,26.77,27.03,23.0,24.89,175714.216,4435950.03236,34198,,
2024-06-08,24.9,25.3,22.73,22.97,133434.252,3169908.27118,19803,,
2024-06-09,22.97,23.78,22.94,23.74,71941.481,1684983.55335,14330,,
2024-06-10,23.73,24.4,23.26,23.56,79804.97,1899001.80064,15022,,
2024-06-11,23.55,23.83,21.91,22.77,129815.504,2965916.8679,22063,,
2024-06-12,22.77,24.12,22.35,23.6,97503.289,2295142.23324,17795,,
2024-06-13,23.6,23.96,22.66,22.76,78672.436,1819720.36322,16558,,
2024-06-14,22.78,23.75,21.84,22.76,116123.971,2661236.5961,21884,,
2024-06-15,22.75,23.1,22.41,22.65,57468.737,1306524.11992,10569,,
2024-06-16,22.68,23.07,22.34,22.86,72992.501,1659818.25525,12298,,
2024-06-17,22.88,23.29,21.04,21.72,141086.607,3115562.43952,20809,,
2024-06-18,21.75,21.81,18.8,20.5,260409.896,5246535.40215,38541,,
2024-06-19,20.5,21.88,19.74,20.07,156938.43,3201160.25009,32929,,
2024-06-20,20.07,20.76,19.75,20.03,92239.949,1864352.62616,13577,,
2024-06-21,20.01,20.43,19.57,20.07,100369.621,2010379.57177,11345,,
2024-06-22,20.07,20.16,19.8,19.99,49781.202,996408.24283,6108,,
2024-06-23,19.98,20.42,19.35,19.59,73344.04,1461321.90741,7217,,
2024-06-24,19.58,19.93,18.88,19.82,134955.676,2635006.48637,14557,,
2024-06-25,19.83,20.36,19.47,20.14,72297.786,1438677.84648,9412,,
2024-06-26,20.14,20.45,19.47,19.91,97459.303,1940664.44258,11552,,
2024-06-27,19.89,20.96,19.75,20.87,115615.326,2354587.22212,12689,,
2024-06-28,20.87,21.24,20.62,20.66,84155.874,1757561.3702,10561,,
2024-06-29,20.65,20.88,20.18,20.24,47851.876,984005.23368,6882,,
2024-06-30,20.21,21.0,19.83,20.94,74842.5,1537355.69404,8550,,
2024-07-01,20.95,21.36,20.25,20.74,95296.36,1982979.927,12821,,
2024-07-02,20.74,20.86,18.75,20.86,78890.127,1622283.25705,9833,,
2024-07-03,20.82,21.03,19.86,20.8,118228.151,2438041.09331,14066,,
2024-07-04,20.81,20.89,18.33,18.4,176807.459,3451100.68393,20002,,
2024-07-05,18.38,18.39,15.78,18.3,295482.982,5047684.92973,32220,,
2024-07-06,18.27,20.8,18.23,19.84,112979.23,2151592.33961,12934,,
2024-07-07,19.84,20.3,18.55,18.67,177275.44,3485741.14397,21876,,
2024-07-08,18.68,20.69,17.67,20.47,218866.609,4257249.90679,25793,,
2024-07-09,20.48,23.02,20.32,22.61,346316.438,7583621.70515,43767,,
2024-07-10,22.6,23.67,22.26,23.4,205546.518,4742429.69176,31939,,
2024-07-11,23.4,24.4,21.28,24.2,167613.59,3984565.1368,30124,,
