date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-06-20,1.0,5.62,1.0,3.432,38449052.71,151388906.37085,585889,,
2024-06-21,3.432,3.623,2.957,3.04,31540495.06,100994307.04495,406010,,
2024-06-22,3.038,3.393,2.791,3.088,25846725.0,79429026.09399,292341,,
2024-06-23,3.089,3.299,2.75,2.808,12798445.7,38340986.5725,156007,,
2024-06-24,2.807,2.891,2.55,2.842,16724837.98,45566831.71656,173281,,
2024-06-25,2.842,2.92,2.719,2.768,13065767.33,36779341.45444,140311,,
2024-06-26,2.768,2.813,2.524,2.542,11226499.6,29639466.80679,128885,,
2024-06-27,2.542,2.64,2.466,2.548,15492437.32,39805028.29989,153662,,
2024-06-28,2.546,2.693,2.489,2.514,13248627.95,34123786.25689,109550,,
2024-06-29,2.514,2.893,2.472,2.781,21524778.99,59135472.24692,176955,,
2024-06-30,2.779,3.546,2.692,3.477,30259367.07,94854545.41961,309406,,
2024-07-01,3.478,4.025,3.276,3.782,35973399.76,129185095.51106,363554,,
2024-07-02,3.781,4.116,3.672,3.83,26520653.77,102326938.46479,294377,,
2024-07-03,3.831,4.262,3.52,3.547,34770233.5,134352513.7213,362461,,
2024-07-04,3.55,3.587,3.045,3.087,23514328.04,76745438.5268,226796,,
2024-07-05,3.086,3.98,2.722,3.918,39966811.2,133038186.34791,426961,,
2024-07-06,3.918,4.43,3.886,4.201,35968650.65,149201156.01976,443526,,
2024-07-07,4.201,4.377,3.713,4.0,24447217.48,98103447.66262,320230,,
2024-07-08,4.0,4.12,3.682,3.868,21960978.27,85125041.98856,316652,,
2024-07-09,3.867,4.072,3.741,3.865,13180168.44,51074079.15923,186738,,
2024-07-10,3.867,4.519,3.666,4.019,19475418.85,81452065.6368,264303,,
2024-07-11,4.019,4.225,3.735,3.752,16946927.24,67165290.77617,239883,,
2024-07-12,3.751,3.888,3.605,3.747,9477869.59,35627349.15986,154202,,
2024-07-13,3.748,3.869,3.657,3.722,6821554.82,25638973.1121,106581,,
2024-07-14,3.721,3.94,3.615,3.874,9867479.22,36873345.05972,117776,,
2024-07-15,3.874,4.197,3.846,4.151,12783843.71,51171331.41873,183828,,
2024-07-16,4.151,4.174,3.812,3.981,8460614.21,33569310.2564,138443,,
2024-07-17,3.982,4.38,3.965,4.005,13394121.4,55403610.13708,175379,,
2024-07-18,4.005,4.196,3.773,3.926,9281318.83,36935000.87461,118404,,
2024-07-19,3.926,3.993,3.718,3.965,8142864.86,31364575.98502,100459,,
2024-07-20,3.965,5.453,3.85,5.293,26829088.66,123783657.34668,417132,,
2024-07-21,5.294,5.418,4.905,5.225,21692256.4,112340317.36358,418967,,
2024-07-22,5.226,5.6,4.955,5.161,20293705.93,106493869.93187,399525,,
2024-07-23,5.161,5.246,4.726,4.891,12728008.75,63668347.06988,246837,,
2024-07-24,4.892,5.039,4.691,4.81,10316855.93,49994337.16891,177728,,
2024-07-25,4.811,4.86,4.3,4.579,10667908.3,48569702.62313,181579,,
2024-07-26,4.579,4.858,4.509,4.714,9190827.62,42624991.84234,186691,,
2024-07-27,4.715,5.02,4.397,4.579,12237085.06,57260838.47786,214249,,
2024-07-28,4.577,4.602,4.356,4.412,5400061.32,24066432.81345,80258,,
2024-07-29,4.413,4.637,4.25,4.358,7468556.58,33193732.9111,107659,,
2024-07-30,4.357,4.617,4.309,4.467,7583917.83,34068888.4902,132478,,
2024-07-31,4.467,4.707,4.385,4.448,8153712.6,36976701.47673,128594,,
2024-08-01,4.449,4.489,3.882,4.111,10887604.41,44782099.31966,171250,,
2024-08-02,4.11,4.135,3.602,3.613,9635369.88,36845404.53965,153824,,
2024-08-03,3.614,3.799,3.507,3.634,8451182.04,30744571.84778,138198,,
2024-08-04,3.635,3.652,3.148,3.172,9829290.34,33478567.74287,161867,,
2024-08-05,3.172,3.244,2.734,3.058,28528378.81,84961947.83417,406828,,
2024-08-06,3.057,3.45,3.05,3.288,10100136.14,32942554.99988,163682,,
2024-08-07,3.288,3.427,2.965,2.989,7343487.61,23558928.77547,140463,,
2024-08-08,2.989,3.66,2.905,3.614,9957223.36,32578112.85622,167522,,
2024-08-09,3.613,3.646,3.417,3.49,6121126.47,21643206.44859,116754,,
2024-08-10,3.49,3.577,3.447,3.517,2891455.06,10140856.95399,62937,,
2024-08-11,3.517,3.769,3.232,3.253,6571693.14,23064517.0327,128241,,
2024-08-12,3.252,3.57,3.17,3.511,6462747.6,22052688.57837,131244,,
2024-08-13,3.511,3.624,3.35,3.54,4769087.96,16609105.12327,77371,,
2024-08-14,3.54,3.609,3.329,3.376,4149081.81,14426092.78308,81397,,
2024-08-15,3.376,3.62,3.272,3.371,6946038.12,23777998.12832,120274,,
2024-08-16,3.372,3.46,3.172,3.353,6261291.62,20759785.29592,118044,,
2024-08-17,3.354,3.68,3.348,3.471,6229286.17,21816681.03875,123000,,
2024-08-18,3.471,3.527,3.42,3.446,3618217.19,12563424.69639,83230,,
2024-08-19,3.447,3.505,3.282,3.4,4636256.47,15655378.03774,69673,,
2024-08-20,3.401,3.553,3.311,3.375,3724688.94,12804909.77477,82861,,
2024-08-21,3.375,3.539,3.266,3.514,3991073.06,13572415.4926,91328,,
2024-08-22,3.515,3.664,3.48,3.596,3935061.65,14035661.26406,93667,,
2024-08-23,3.596,3.95,3.594,3.9,5559819.63,20929762.36728,133771,,
2024-08-24,3.901,4.429,3.835,4.22,6744687.03,27927128.48804,184593,,
2024-08-25,4.221,4.52,4.016,4.347,8824616.08,37904108.64405,244553,,
2024-08-26,4.346,4.381,3.962,4.041,4635331.35,19291628.92937,121924,,
2024-08-27,4.04,4.099,3.603,3.692,5599998.86,21611690.43488,145553,,
2024-08-28,3.693,3.961,3.666,3.85,5985856.9,22708216.62397,152108,,
2024-08-29,3.853,4.36,3.825,4.164,7766803.75,32294463.25022,218909,,
2024-08-30,4.164,4.32,3.91,4.049,7855767.84,32281361.83894,158490,,
2024-08-31,4.049,4.25,4.004,4.052,5343458.28,22086560.59271,77905,,
2024-09-01,4.052,4.053,3.704,3.732,6972459.23,27049639.25997,102186,,
2024-09-02,3.732,3.874,3.628,3.798,5629244.66,21113087.49419,82348,,
2024-09-03,3.797,3.813,3.317,3.342,7346039.05,25893839.58407,95344,,
2024-09-04,3.342,3.394,3.123,3.339,8275870.15,27106448.4744,90093,,
2024-09-05,3.339,3.352,3.183,3.223,3721680.27,12066522.13518,48222,,
2024-09-06,3.223,3.364,3.041,3.199,6283499.98,20293433.01072,67522,,
2024-09-07,3.198,3.386,3.191,3.284,3544083.11,11709155.02181,36120,,
2024-09-08,3.28,3.432,3.253,3.374,3780256.68,12567974.28032,37044,,
2024-09-09,3.373,3.655,3.322,3.574,4643583.54,16065501.69601,48613,,
2024-09-10,3.574,3.598,3.473,3.571,3218278.64,11352199.44339,36420,,
2024-09-11,3.571,3.71,3.435,3.627,6324024.2,22518051.3626,103530,,
2024-09-12,3.626,3.832,3.621,3.794,4572070.55,17078914.38241,98986,,
2024-09-13,3.793,3.991,3.727,3.949,5975842.3,23163080.90254,75292,,
2024-09-14,3.95,4.05,3.796,3.873,3964234.25,15487441.37857,49973,,
2024-09-15,3.873,3.947,3.661,3.714,3499373.41,13428018.41678,43120,,
2024-09-16,3.713,4.04,3.63,3.906,7274545.88,28040459.05197,85131,,
2024-09-17,3.907,4.19,3.779,4.036,8268124.84,33439718.86519,102555,,
2024-09-18,4.034,4.252,3.746,4.229,7535651.81,29899506.71971,93147,,
2024-09-19,4.23,4.627,4.146,4.271,9221593.73,40788116.62105,155851,,
2024-09-20,4.271,4.72,4.137,4.228,11102906.01,49099869.89554,192017,,
2024-09-21,4.229,4.476,4.051,4.392,8929056.13,37985705.41623,144318,,
2024-09-22,4.393,4.566,4.078,4.201,7449064.09,31716147.59597,123042,,
