date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2026-01-07,0.1139,0.186,0.1139,0.1443,291233133.6,43219879.67813,215962,130686781.5613964,9995916.316183366
2026-01-08,0.1441,0.158,0.1125,0.1359,443982775.6,60116866.24551,285374,144549060.6330596,69001236.1035081
2026-01-09,0.1361,0.1597,0.1254,0.1394,249782448.9,35335507.97515,201319,136692381.149461,99554081.0422733
2026-01-10,0.1393,0.1775,0.1301,0.1726,382226308.1,59506464.23886,281611,139978157.6137203,56226969.87386891
2026-01-11,0.1726,0.188,0.1453,0.1502,336216860.0,54960471.58216,245511,172808580.3691455,89316837.70593217
2026-01-12,0.1502,0.1726,0.1464,0.1594,306360205.9,48946051.61818,239679,150134960.7490707,70032060.37385704
2026-01-13,0.1594,0.1872,0.1581,0.1863,306799498.1,53879209.9875,358322,159190565.1783613,68325808.76208928
2026-01-14,0.1863,0.289,0.1862,0.2648,695362634.8,176334425.7665,767846,185910564.6889783,81063454.84621568
2026-01-15,0.2646,0.2684,0.1877,0.2159,339518624.6,76370234.936,327886,267319438.8533023,243764315.44740835
2026-01-16,0.2159,0.2443,0.1958,0.2249,203828045.9,44506940.3215,183072,214761052.1612634,103000113.77183333
2026-01-17,0.2248,0.2425,0.2156,0.2329,146968317.1,33568505.67698,143487,225504241.2217578,66300670.83802867
2026-01-18,0.2331,0.2447,0.2106,0.2297,158845171.4,36398511.63301,157046,231337906.5722161,50386129.0444312
2026-01-19,0.2298,0.2375,0.1963,0.2093,188024257.5,40005897.673,193003,225632006.17633,52475687.094334014
2026-01-20,0.2092,0.2115,0.167,0.1701,202100198.1,38778917.77369,164095,210308121.8599437,57413853.55218097
2026-01-21,0.1701,0.1988,0.1603,0.1895,284267722.8,50936954.02017,203032,172300390.8680465,51700005.963336594
2026-01-22,0.1895,0.1965,0.17,0.1746,110675711.2,19895798.78749,97710,189736324.5203349,79947959.31447268
2026-01-23,0.1745,0.186,0.165,0.1758,133477609.0,23333677.55062,105819,175366811.0274439,30853392.715114594
2026-01-24,0.1757,0.1845,0.1717,0.1747,71575442.2,12731348.99096,55113,174774366.6870012,35687383.48185308
2026-01-25,0.1747,0.1788,0.1456,0.1542,129836626.7,20757035.56167,85936,175081097.5861519,22802025.807201367
2026-01-26,0.1542,0.1572,0.1488,0.1535,69169869.4,10560666.51059,52156,153689931.7932575,33797785.10063151
2026-01-27,0.1533,0.1645,0.1492,0.1611,80208686.7,12509121.43631,78458,153727985.4707378,19803467.496485792
2026-01-28,0.1611,0.1641,0.1533,0.1574,56400675.7,8957187.53932,45736,161400234.9546135,23816424.786974162
